Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity (psu)	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	516	B	3/1/2004	2.12	-49.1667	245.026	10.590	1	10.681	1	4.1422	1	33.8805	1	2130.03	1	0.19	1	0.52	1	14.4	1	1.68	1	24.3	1
ANTXXI/3	516	B	3/1/2004	2.12	-49.1667	245.026	21.109	1	21.293	1	4.1425	1	33.8804	1	2131.28	1	0.19	1	0.5	1	14.5	1	1.64	1	24.3	1
ANTXXI/3	516	B	3/1/2004	2.12	-49.1667	245.026	39.333	1	39.677	1	4.143	1	33.8806	1	2130.14	1	0.19	1	0.5	1	14.4	1	1.63	1	24.3	1
ANTXXI/3	516	B	3/1/2004	2.12	-49.1667	245.026	58.885	1	59.403	1	4.1374	1	33.8808	1	2131.52	1	0.19	1	0.53	1	14.5	1	1.62	1	24.2	1
ANTXXI/3	516	B	3/1/2004	2.12	-49.1667	245.026	80.473	1	81.185	1	4.1261	1	33.8809	1	2131.7	1	0.19	1	0.6	1	14.8	1	1.61	1	24.3	1
ANTXXI/3	516	B	3/1/2004	2.12	-49.1667	245.026	99.018	1	99.899	1	4.0351	1	33.8836	1	2135.36	1	0.19	1	0.98	1	16.3	1	1.66	1	24.3	1
ANTXXI/3	516	B	3/1/2004	2.12	-49.1667	245.026	118.303	1	119.361	1	3.6084	1	33.894	1	2148.5	1	0.2	1	1.44	1	21.2	1	1.84	1	25.7	1
ANTXXI/3	516	B	3/1/2004	2.12	-49.1667	245.026	150.403	1	151.759	1	2.4034	1	33.9533	1	2187.41	1	0.21	1	1.33	1	25.4	1	1.99	1	27.4	1
ANTXXI/3	516	B	3/1/2004	2.12	-49.1667	245.026	197.898	1	199.706	1	1.3843	1	34.0139	1	2177.53	1	0.07	1	0.17	1	31.6	1	2.18	1	31	1
ANTXXI/3	516	B	3/1/2004	2.12	-49.1667	245.026	245.026	1	247.293	1	1.1054	1	34.1143	1	2193.84	1	0.02	1	0.13	1	38.6	1	2.35	1	32.8	1
