Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature [?C]	QF	Salinity (psu)	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	10.34	1	10.43	1	4.0626	1	33.877	1	2130.29	1	2289.1	1	0.2	1	0.59	1	12.4	1	1.62	1	24.3	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	20.762	1	20.943	1	4.061	1	33.8764	1	2129.49	1	2291	1	0.2	1	0.59	1	12.2	1	1.62	1	24.3	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	30.558	1	30.824	1	4.0614	1	33.8767	1	2130.65	1	2288.4	1	0.2	1	0.58	1	12.2	1	1.63	1	24.4	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	40.235	1	40.587	1	4.0653	1	33.8768	1	2129.89	1	2289.5	1	0.2	1	0.59	1	12.2	1	1.62	1	24.3	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	60.938	1	61.474	1	4.0675	1	33.8763	1	2130.86	1	2290	1	0.19	1	0.59	1	12.3	1	1.61	1	24.3	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	80.703	1	81.417	1	4.0279	1	33.8749	1	2132.4	1	2289.1	1	0.19	1	0.66	1	11.9	1	1.62	1	24.4	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	89.501	1	90.294	1	3.9633	1	33.8783	1	2133.55	1	2290	1	0.2	1	0.85	1	12.9	1	1.64	1	24.5	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	100.347	1	101.24	1	3.8433	1	33.8867	1	2137.68	1	2291.3	1	0.2	1	1.03	1	14.3	1	1.69	1	24.8	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	120.287	1	121.363	1	3.6688	1	33.8968	1	2142.2	1	2291.7	1	0.2	1	1.4	1	17.2	1	1.77	1	25.2	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	150.542	1	151.9	1	3.1712	1	33.9164	1	2149.19	1	2291.2	1	0.21	1	1.46	1	20.3	1	1.86	1	26.3	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	200.223	1	202.053	1	1.6078	1	33.9961	1	2173.92	1	2295.4	1	0.11	1	0.63	1	29.8	1	2.12	1	30.4	1
ANTXXI/3	528	B	03/03/2004	2.1228	-49.1512	249.576	249.576	1	251.888	1	1.0965	1	34.0808	1	2189.95	1	2298.5	1	0.02	1	0.27	1	36	1	2.25	1	32.7	1
