Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	10.522	1	10.613	1	4.2264	1	33.8735	1	2120.95	1	2289.8	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	14.432	1	14.557	1	4.1986	1	33.8744	1	2121.74	1	2289.8	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	22.922	1	23.121	1	4.2084	1	33.8743	1	2122.36	1	2291.1	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	37.442	1	37.77	1	4.1905	1	33.8747	1	2123.51	1	2290.8	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	50.964	1	51.411	1	4.1194	1	33.8766	1	2124.89	1	2290.7	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	77.809	1	78.497	1	4.1111	1	33.8768	1	2127.22	1	2291	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	90.382	1	91.184	1	4.1044	1	33.8767	1	2127.25	1	2290.7	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	101.122	1	102.022	1	4.0961	1	33.8769	1	2127.79	1	2290.1	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	120.813	1	121.894	1	4.0289	1	33.8798	1	2131.1	1	2291.1	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	150.207	1	151.561	1	3.3581	1	33.91	1	2145.55	1	2291.5	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	200.58	1	202.413	1	1.9204	1	33.9781	1	2166.86	1				1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	200.831	1	202.667	1	1.8836	1	33.9816	1	2170.57	1	2296	1		1		1		1		1		1
ANTXXI/3	553a	B	03/11/2004	2.4245	-49.46816667	248.536	248.536	1	250.838	1	1.1443	1	34.057	1	2183.83	1	2298.4	1		1		1		1		1		1
