Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	592	B	3/19/2004	2.6005	-49.6228	197.734	19.805	1	19.977	1	4.3233	1	33.8579	1	2125.11	1	2287.8	1		1		1		1		1		1
ANTXXI/3	592	B	3/19/2004	2.6005	-49.6228	197.734	29.46	1	29.717	1	4.3253	1	33.8579	1	2125.4	1	2288	1		1		1		1		1		1
ANTXXI/3	592	B	3/19/2004	2.6005	-49.6228	197.734	40.663	1	41.019	1	4.326	1	33.8582	1	2124.86	1	2287.7	1		1		1		1		1		1
ANTXXI/3	592	B	3/19/2004	2.6005	-49.6228	197.734	59.192	1	59.712	1	4.3258	1	33.8583	1	2124.6	1	2287.4	1		1		1		1		1		1
ANTXXI/3	592	B	3/19/2004	2.6005	-49.6228	197.734	79.545	1	80.249	1	4.3251	1	33.8591	1	2124.41	1	2287.8	1		1		1		1		1		1
ANTXXI/3	592	B	3/19/2004	2.6005	-49.6228	197.734	99.901	1	100.79	1	4.0522	1	33.8762	1	2134.59	1	2291.4	1		1		1		1		1		1
ANTXXI/3	592	B	3/19/2004	2.6005	-49.6228	197.734	118.908	1	119.971	1	3.6652	1	33.8946	1	2145.83	1	2291	1		1		1		1		1		1
ANTXXI/3	592	B	3/19/2004	2.6005	-49.6228	197.734	138.661	1	139.908	1	2.7404	1	33.9355	1	2158.7	1	2290.1	1		1		1		1		1		1
ANTXXI/3	592	B	3/19/2004	2.6005	-49.6228	197.734	157.696	1	159.121	1	1.9399	1	33.9781	1	2169.12	1	2293.3	1		1		1		1		1		1
ANTXXI/3	592	B	3/19/2004	2.6005	-49.6228	197.734	197.734	1	199.54	1	1.268	1	34.0395	1	2181.86	1	2299	1		1		1		1		1		1
