Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature [°C]	QF	Salinity (psu)	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	10.81	1	10.903	1	4.076	1	33.8743	1	2130.08	1	0.2	1	0.25	1	11.3	1	1.67	1	24.2	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	21.593	1	21.781	1	4.0716	1	33.874	1	2126.96	1	0.2	1	0.49	1	11.5	1	1.68	1	24.2	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	30.281	1	30.546	1	4.0737	1	33.8739	1	2128.39	1	0.2	1	0.16	1	11.5	1	1.69	1	24.2	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	40.391	1	40.744	1	4.0737	1	33.8741	1	2128.51	1	0.2	1	0.14	1	11.5	1	1.66	1	24.2	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	60.582	1	61.115	1	4.0746	1	33.8739	1	2127.15	1	0.2	1	0.15	1	11.5	1	1.64	1	24.2	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	79.451	1	80.154	1	4.0686	1	33.874	1	2127.7	1	0.2	1	0.28	1	11.4	1	1.66	1	24.2	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	99.963	1	100.852	1	4.063	1	33.8739	1	2129.9	1	0.2	1	0.28	1	11.5	1	1.68	1	24.2	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	110.064	1	111.046	1	3.9759	1	33.8778	1	2133.66	1	0.2	1	0.57	1	12.8	1	1.73	1	24.5	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	118.771	1	119.832	1	3.6752	1	33.896	1	2141.63	1	0.2	1	1.03	1	16.3	1	1.85	1	25.1	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	149.497	1	150.845	1	3.2812	1	33.9039	1	2149.58	1	0.21	1	1.18	1	20.8	1	2.01	1	26.2	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	197.598	1	199.403	1	1.8664	1	33.978	1	2170.91	1	0.12	1	0.31	1	29	1	2.28	1	30.2	1
ANTXXI/3	540	B	03/03/2004	2.1195	-49.1527	249.15	249.15	1	251.458	1	1.1071	1	34.0585	1	2184.25	1	0.03	1	0	1	33.7	1	2.39	1	32.2	1
