"Final" list of in-patch and out-patch stations obtained by a
combination of objective and subjective criteria (Christine
Klaas). For more information see allEifexCTD.numbers

In patch,Out patch
424-3,449-1
424-17,464-1
424-20,465-2
450-1,470-1
466-2,471-1
508-2,509-1
508-16,509-13
508-18,514-2
513-3,514-13
513-12,520-1
513-16,525-1
515-1,530-1
522-1,531-1
523-1,532-1
526-1,537-1
527-1,546-2
543-8,546-7
543-10,546-14
543-15,546-22
544-3,554-1
544-18,557-1
544-53,562-2
544-63,564-1
545-1,584-1
553-3,585-1
553-10,587-1
556-1,587-10
559-1,587-14
560-2,587-15
570-2,587-16
570-4,588-1
570-11,589-1
570-15,0
572-1,0
580-2,0
580-10,0
580-14,0
580-18,0
583-1,0
586-3,0
591-7,0
591-11,0
593-3,0
593-6,0
593-14,0
593-17,0
