Station	Cast	Parameter	POC	DOC 	Biogenic silica	Silicic acid	POP	Available P (DOP+PO4)	PON	N available (N=DON1+NH4+NOx)	DON	position
number	number	Days after fertilization	moles/m2	moles/m2	molBSI/m2	mols/m2	mol/m2	mol/m2	mols/m2	mols/m2	mols/m2	out patch
452	1	3.276388889	0.856270697	4.26059417	0.346997098	1.495711781	0.012858434	0.161833134	0.141299111	2.90425076	0.355150959	out patch
464	1	4.522222222	0.851444349	4.211411411	0.358409683	1.37154349	0.012328313	0.169889019	0.158532212	2.851200841	0.316664048	out patch
472	1	5.319444444	0.69978288	4.242816092	0.22331022	0.989824177	0.010525718	0.170662322	0.132649527	2.812263851	0.316487901	out patch
474	1	5.475694444	0.613572815	nan	0.213203463	1.034350834	0.009381705	0.173552885	0.111501675	2.895071983	0.344889176	out patch
509	1	10.25138889	0.672800977	5.099139785	0.322153042	1.213545097	0.009654287	0.177345	0.125536152	2.926748871	0.382048561	out patch
514	2	16.74513889	0.62492173	4.713469828	0.236459921	1.05198235	0.007249099	0.17531432	0.121859212	2.691020335	0.17233638	out patch
546	2	25.52847222	0.441768591	4.518046709	0.20717672	0.944207934	0.006422776	0.165945652	0.09315418	2.802079499	0.257368078	out patch
587	1	33.74513889	0.459959378	4.372637363	0.205648509	0.995902679	0.005402644	0.125855051	0.093034691	2.74309859	0.195155563	In patch
424	1	-1.220138889	0.766926455	5.275917927	0.162197756	1.929719525	0.010230422	0.17665	0.122005118	3.001808493	0.41356139	In patch
426	1	0.51875	0.755718791	nan	nan	1.796310354	nan	0.174875	0.12541354	nan	nan	In patch
470	1	5.177777778	0.86564109	4.36991404	0.320701707	1.553163729	0.011726059	0.169905649	0.161616312	2.842743824	0.316747012	In patch
508	1	9.328472222	0.868156107	5.882957917	0.281895503	1.638653553	0.012265251	0.171675	0.168074431	2.833705665	0.298903137	In patch
511	1	11.78263889	0.964685652	4.416898148	0.373264418	1.524857955	0.01236553	0.170575	0.1873852	2.816495819	0.292762194	In patch
513	1	14.78958333	1.090997425	4.353828306	0.409847972	1.425127872	0.014478118	0.164842391	0.197247759	2.855052036	0.394556121	In patch
522	1	18.72916667	1.202093504	5.25896861	0.528306944	1.313606342	0.017269484	0.160712329	0.234457768	2.751120434	0.271929337	In patch
528	1	19.02361111	1.134712728	5.039569892	0.485724669	1.236924307	0.013824426	0.162295673	0.223066504	2.761569907	0.241334208	In patch
543	1	20.2875	1.101801416	5.289956803	0.475426124	1.251366186	0.01691247	0.168466121	0.231497183	2.668864429	0.19988714	In patch
544	18	22.42569444	1.221131242	4.131053812	0.604171958	1.160163197	0.015569544	0.157428082	0.23398228	2.828832541	0.341036349	In patch
545	1	24.27083333	1.257964839	4.254654655	0.632915344	1.134614532	0.018325301	0.155163991	0.238247219	2.647869096	0.206109221	In patch
553	3	27.80347222	1.140936459	nan	0.580220304	1.006885695	0.01687799	0.1579375	0.225903168	2.705481076	0.279661517	In patch
570	4	30.24305556	1.3294998	4.418857759	0.54052281	0.909061383	0.016267986	0.155161137	0.222281661	2.685966429	0.262933381	In patch
580	2	32.10277778	1.113107653	4.438399072	0.55699414	0.833653531	0.017328605	0.152915493	0.211450231	2.608272712	0.207879888	In patch
591	1	35.27291667	0.913998889	4.433545648	0.523455303	0.898668536	0.014126506	0.165582921	0.186388498	2.788104091	0.270947543	In patch
593	3	35.97083333	0.777317496	4.405686695	0.63882399	0.792139808	0.015958738	0.166830446	0.192426743	2.623980417	0.19451621	In patch
