Cruise	Station	Type	mon/day/yr	Lon	Lat	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	2.225	1	2.244	1	3.1287	1	33.885	1	2154.32	1	2290.1	1
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	28.483	1	28.723	1	3.1309	1	33.8849	1	2154.69	1	2290.1	1
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	49.519	1	49.953	1	2.4692	1	33.894	1	2155.66	1	2293.1	1
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	60.044	1	60.572	1	2.453	1	33.8965	1	2155.32	1	2291.8	1
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	78.626	1	79.321	1	2.3991	1	33.8988	1	2158.09	1	2295.5	1
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	90.173	1	90.973	1	2.3459	1	33.8973	1	2153.8	1	2295.1	1
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	101.411	1	102.314	1	1.9788	1	33.8969	1	2156.32	1	2292.1	1
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	119.159	1	120.224	1	0.844	1	33.9582	1	2158.09	1	2299.9	1
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	147.095	1	148.42	1	0.4984	1	34.0074	1	2170.24	1	2301.8	1
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	198.501	1	200.315	1	0.5296	1	34.0954	1	2178.18	1	2304	1
ANTXXI/3	420a	B	02/01/2004	18.314	-49.731	244.728	244.728	1	246.992	1	0.9744	1	34.2539	1	2191.51	1	2312.9	1
