Cruise	Station	Type	mon/day/yr	Lon	Lat	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	9.875	1	9.961	1	4.0002	1	33.888	1	2131.87	1	2290.6	1	0.23	1	0.69	1	16.2	1	1.71	1	24.3	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	21.26	1	21.445	1	3.9905	1	33.8879	1	2132.08	1	2291.2	1	0.23	1	0.68	1	16.3	1	1.72	1	24.3	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	30.302	1	30.556	1	3.9912	1	33.8881	1	2132.49	1	2290.8	1	0.23	1	0.69	1	16.3	1	1.71	1	24.3	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	40.825	1	41.183	1	3.9906	1	33.8881	1	2132.59	1	2291.3	1	0.23	1	0.75	1	16.3	1	1.71	1	24.3	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	59.982	1	60.51	1	3.9896	1	33.8884	1	2133.19	1	2291.3	1	0.23	1	0.99	1	16.3	1	1.73	1	24.3	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	78.736	1	79.432	1	3.9764	1	33.8891	1	2134.41	1	2290.2	1	0.23	1	0.8	1	16.5	1	1.71	1	24.3	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	89.931	1	90.729	1	3.9544	1	33.8898	1	2136.59	1	2289.7	1	0.24	1	0.86	1	16.8	1	1.74	1	24.3	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	100.658	1	101.553	1	3.933	1	33.8899	1	2136.97	1	2289.8	1	0.24	1	0.94	1	17.1	1	1.75	1	24.4	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	119.859	1	120.931	1	3.6055	1	33.9017	1	2146.33	1	2292.2	1	0.24	1	1.32	1	19.4	1	1.87	1	25.1	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	149.963	1	151.316	1	2.6419	1	33.938	1	2178.97	1	2291.8	1	0.25	1	1.52	1	24.9	1	2.05	1	26.9	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	200.147	1	201.973	1	1.3404	1	34.0139	1	2175.56	1	2293.7	1	0.11	1	0.49	1	31	1	2.25	1	30.6	1
ANTXXI/3	508	B	2/22/2004	2.013	-49.197	250.207	250.207	1	252.525	1	0.991	1	34.0925	1	2191.03	1	2301.4	1	0.02	1	0.29	1	36.8	1	2.4	1	32.4	1
