Cruise	Station	Type	mon/day/yr	Lon	Lat	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	515	B	03/01/2004	2.1248	-49.0848	249.08	9.967	1	10.053	1	4.1157	1	33.8802	1	2129.54	1	0.19	1	0.44	1	14.0	1	1.68	1	24.2	1
ANTXXI/3	515	B	03/01/2004	2.1248	-49.0848	249.08	18.832	1	18.996	1	4.1152	1	33.8802	1	2129.72	1	0.19	1	0.44	1	14.0	1	1.67	1	24.2	1
ANTXXI/3	515	B	03/01/2004	2.1248	-49.0848	249.08	39.753	1	40.101	1	4.1174	1	33.8803	1	2127.86	1	0.19	1	0.44	1	14.0	1	1.67	1	24.2	1
ANTXXI/3	515	B	03/01/2004	2.1248	-49.0848	249.08	60.154	1	60.683	1	4.1183	1	33.8802	1	2128.93	1	0.19	1	0.44	1	14.0	1	1.67	1	24.2	1
ANTXXI/3	515	B	03/01/2004	2.1248	-49.0848	249.08	80.547	1	81.259	1	4.1201	1	33.8798	1	2128.7	1	0.19	1	0.44	1	14.0	1	1.68	1	24.3	1
ANTXXI/3	515	B	03/01/2004	2.1248	-49.0848	249.08	98.052	1	98.923	1	4.0273	1	33.8822	1	2132.77	1	0.19	1	0.84	1	15.4	1	1.75	1	24.5	1
ANTXXI/3	515	B	03/01/2004	2.1248	-49.0848	249.08	118.99	1	120.054	1	3.8026	1	33.8913	1	2139.56	1	0.19	1	1.24	1	17.5	1	1.84	1	25.0	1
ANTXXI/3	515	B	03/01/2004	2.1248	-49.0848	249.08	149.762	1	151.113	1	3.0185	1	33.9203	1	2152.54	1	0.20	1	1.31	1	22.8	1	2.02	1	26.9	1
ANTXXI/3	515	B	03/01/2004	2.1248	-49.0848	249.08	196.695	1	198.491	1	1.3537	1	34.0337	1	2179.45	1	0.03	1	0.14	1	33.4	1	2.30	1	31.7	1
ANTXXI/3	515	B	03/01/2004	2.1248	-49.0848	249.08	249.08	1	251.387	1	1.2026	1	34.1067	1	2192.73	1	0.02	1	0.12	1	39.0	1	2.43	1	33.0	1
