Cruise	Station	Type	mon/day/yr	Lon (E)	Lat (N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	518	B	3/1/2004	2.1218	-49.2503	247.599	10.42	1	10.51	1	4.1314	1	33.8787	1	2133.72	1	0.16	1	0.59	1	14.5	1	1.73	1	24.5	1
ANTXXI/3	518	B	3/1/2004	2.1218	-49.2503	247.599	21.159	1	21.343	1	4.1325	1	33.8788	1	2132.12	1	0.16	1	0.58	1	14.4	1	1.74	1	24.5	1
ANTXXI/3	518	B	3/1/2004	2.1218	-49.2503	247.599	40.136	1	40.487	1	4.1331	1	33.8786	1	2133.21	1	0.16	1	0.58	1	14.5	1	1.72	1	24.5	1
ANTXXI/3	518	B	3/1/2004	2.1218	-49.2503	247.599	59.401	1	59.923	1	4.1308	1	33.8796	1	2133.43	1	0.16	1	0.59	1	14.4	1	1.74	1	24.5	1
ANTXXI/3	518	B	3/1/2004	2.1218	-49.2503	247.599	79.737	1	80.442	1	4.1221	1	33.88	1	2131.44	1	0.16	1	0.63	1	14.5	1	1.72	1	24.5	1
ANTXXI/3	518	B	3/1/2004	2.1218	-49.2503	247.599	100.976	1	101.874	1	3.9995	1	33.8856	1	2136.38	1	0.16	1	1.06	1	16.4	1	1.78	1	24.7	1
ANTXXI/3	518	B	3/1/2004	2.1218	-49.2503	247.599	121.998	1	123.09	1	3.7242	1	33.898	1	2140.97	1	0.16	1	1.39	1	18.9	1	1.85	1	24.9	1
ANTXXI/3	518	B	3/1/2004	2.1218	-49.2503	247.599	147.738	1	149.069	1	3.0782	1	33.9213	1	2152.34	1	0.17	1	1.5	1	23.1	1	2	1	26.4	1
ANTXXI/3	518	B	3/1/2004	2.1218	-49.2503	247.599	198.573	1	200.388	1	1.4051	1	34.0075	1	2175.39	1	0.07	1	0.32	1	30.9	1	2.24	1	30.7	1
ANTXXI/3	518	B	3/1/2004	2.1218	-49.2503	247.599	247.599	1	249.892	1	0.9975	1	34.0839	1	2188.57	1	0.02	1	0.14	1	36.2	1	2.37	1	32.3	1
