Cruise	Station	Type	mon/day/yr	Lon (E)	Lat (N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	9.924	1	10.01	1	4.0743	1	33.8783	1	2125.55	1	2291	1	0.2	1	0.42	1	12.6	1	1.58	1	23.9	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	19.242	1	19.409	1	4.0746	1	33.8783	1	2125.77	1	2287.7	1	0.2	1	0.39	1	12.6	1	1.59	1	23.9	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	29.433	1	29.689	1	4.072	1	33.8784	1	2125.78	1	2290.6	1	0.2	1	0.4	1	12.6	1	1.58	1	23.9	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	38.052	1	38.385	1	4.0701	1	33.8783	1	2125.75	1	2290.2	1	0.2	1	0.41	1	12.6	1	1.57	1	23.9	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	58.688	1	59.204	1	4.0623	1	33.8783	1	2127.88	1	2290.8	1	0.2	1	0.44	1	12.6	1	1.58	1	23.9	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	79.292	1	79.993	1	3.9902	1	33.8808	1	2130.65	1	2290.4	1	0.2	1	0.55	1	13.1	1	1.62	1	24.1	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	89.371	1	90.163	1	3.8502	1	33.8878	1	1630.69	1	2291.5	1	0.2	1	0.91	1	14.8	1	1.71	1	24.6	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	99.543	1	100.428	1	3.6289	1	33.8979	1	2142.81	1	2293.4	1	0.22	1	1.31	1	17.2	1	1.78	1	25.3	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	120.596	1	121.675	1	3.402	1	33.9072	1	2144.54	1	2293.1	1	0.22	1	1.39	1	19.2	1	1.86	1	25.8	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	148.692	1	150.032	1	2.654	1	33.9407	1	2157.05	1	2293	1	0.23	1	1.3	1	23.6	1	1.99	1	27.3	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	199.512	1	201.335	1	1.5822	1	33.9981	1	2172.87	1	2295.2	1	0.13	1	0.53	1	29.3	1	2.17	1	30.3	1
ANTXXI/3	522	B	03/02/2004	2.1192	-49.1532	240.821	240.821	1	243.046	1	1.0717	1	34.0673	1	2186.06	1	2299.2	1	0.02	1	0.18	1	34.5	1	2.37	1	32.4	1
