Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	9.772	1	9.857	1	4.0004	1	33.8737	1	2132.04	1	2285.4	1	0.23	1	0.62	1	11.9	1	1.75	1	24.5	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	20.853	1	21.034	1	3.9998	1	33.8738	1	2132.27	1	2284.4	1	0.22	1	0.59	1	12	1	1.75	1	24.4	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	29.823	1	30.083	1	3.9999	1	33.8738	1	2132.42	1	2285.3	1	0.22	1	0.64	1	12	1	1.75	1	24.5	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	39.99	1	40.339	1	3.9894	1	33.8748	1	2132.01	1	2285.5	1	0.22	1	0.61	1	11.9	1	1.75	1	24.5	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	50.077	1	50.516	1	3.9735	1	33.8769	1	2132.83	1	2285.4	1	0.22	1	0.62	1	11.8	1	1.76	1	24.5	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	58.828	1	59.345	1	3.9655	1	33.8775	1	2133.64	1	2286	1	0.22	1	0.63	1	11.8	1	1.77	1	24.5	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	79.535	1	80.238	1	3.8658	1	33.88	1	2135.5	1	2284.7	1	0.22	1	0.79	1	12.4	1	1.8	1	24.7	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	98.371	1	99.245	1	3.7412	1	33.8814	1	2136.72	1	2285	1	0.22	1	0.91	1	13.5	1	1.82	1	24.9	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	118.924	1	119.987	1	3.4827	1	33.887	1	2145.15	1	2290.1	1	0.22	1	1.12	1	15.9	1	1.93	1	25.6	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	149.102	1	150.446	1	2.2134	1	33.9526	1	2163.65	1			0.17	1	0.55	1	25.7	1	2.15	1	29	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	197.067	1	198.866	1	1.4663	1	34.0505	1	2183.77	1	2291.8	1	0.02	1	0	1	34.1	1	2.38	1	32.3	1
ANTXXI/3	509	B	2/23/2004	2.006	-49.002	247.126	247.126	1	249.413	1	1.5807	1	34.1369	1	2196.19	1	2297.7	1	0.02	1	0.01	1	39.7	1	2.51	1	33.7	1
