Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	10.085	1	10.173	1	3.9876	1	33.8806	1	2127.98	1	2286.3	1	0.19	1	0.4	1	15.5	1	1.7	1	24.4	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	19.241	1	19.408	1	3.9879	1	33.8809	1	2127.99	1	2286.3	1	0.19	1	0.38	1	15.3	1	1.69	1	24.4	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	29.198	1	29.453	1	3.9528	1	33.8846	1	2131.5	1	2287.9	1	0.19	1	0.42	1	15.3	1	1.69	1	24.5	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	39.495	1	39.84	1	3.9459	1	33.8847	1	2131.55	1	2286.8	1	0.18	1	0.45	1	15.1	1	1.71	1	24.6	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	48.575	1	49.001	1	3.9401	1	33.8849	1	2131.16	1	2287	1	0.18	1	0.47	1	15.2	1	1.72	1	24.6	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	59.447	1	59.97	1	3.9384	1	33.8848	1	2132.45	1	2287.4	1	0.18	1	0.49	1	15.1	1	1.73	1	24.7	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	75.659	1	76.328	1	3.9257	1	33.8851	1	2132.66	1	2290.1	1	0.19	1	0.54	1	15	1	1.69	1	24.6	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	97.207	1	98.071	1	3.8981	1	33.8868	1	2132.82	1	2286	1	0.19	1	0.7	1	15.4	1	1.71	1	24.7	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	118.448	1	119.507	1	3.6955	1	33.8969	1	2168.21	1	2290.7	1	0.19	1	1.01	1	18	1	1.77	1	25.1	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	147.937	1	149.27	1	2.6441	1	33.9443	1	2155.24	1	2289.3	1	0.2	1	1.3	1	25.1	1	1.98	1	27.4	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	196.224	1	198.015	1	1.4149	1	34.0078	1	2174.42	1	2292.3	1	0.1	1	0.44	1	30.9	1	2.17	1	30.7	1
ANTXXI/3	511a	B	2/24/2004	2.37	-49.304	246.458	246.458	1	248.739	1	1.009	1	34.0785	1	2186.34	1	2296.4	1	0.02	1	0.08	1	36	1	2.29	1	32.5	1
