Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature [°C]	QF	Salinity (psu)	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	521	B	3/2/2004	2.1195	-49.2177	248.339	9.203	1	9.283	1	4.0864	1	33.8792	1	2130.88	1	0.21	1	0.57	1	13.4	1	1.67	1	24.7	1
ANTXXI/3	521	B	3/2/2004	2.1195	-49.2177	248.339	20.46	1	20.638	1	4.0856	1	33.8789	1	2131.11	1	0.21	1	0.57	1	13.4	1	1.67	1	24.6	1
ANTXXI/3	521	B	3/2/2004	2.1195	-49.2177	248.339	38.41	1	38.746	1	4.0845	1	33.879	1	2132.24	1	0.21	1	0.57	1	13.5	1	1.67	1	24.6	1
ANTXXI/3	521	B	3/2/2004	2.1195	-49.2177	248.339	59.109	1	59.629	1	4.0832	1	33.8792	1	2130.04	1	0.21	1	0.59	1	13.6	1	1.66	1	24.6	1
ANTXXI/3	521	B	3/2/2004	2.1195	-49.2177	248.339	79.912	1	80.619	1	4.0763	1	33.8791	1	2131.79	1	0.21	1	0.59	1	13.6	1	1.67	1	24.6	1
ANTXXI/3	521	B	3/2/2004	2.1195	-49.2177	248.339	98.268	1	99.142	1	4.0639	1	33.8789	1	2132.74	1	0.21	1	0.76	1	14.6	1	1.7	1	24.7	1
ANTXXI/3	521	B	3/2/2004	2.1195	-49.2177	248.339	119.914	1	120.986	1	3.6499	1	33.8988	1	2141.43	1	0.22	1	1.39	1	19	1	1.83	1	25.3	1
ANTXXI/3	521	B	3/2/2004	2.1195	-49.2177	248.339	150.185	1	151.539	1	2.8088	1	33.9325	1	2154.99	1	0.23	1	1.4	1	24	1	1.98	1	27.1	1
ANTXXI/3	521	B	3/2/2004	2.1195	-49.2177	248.339	199.308	1	201.13	1	1.4777	1	34.0072	1	2203.12	1	0.11	1	0.47	1	29.9	1	2.15	1	30.5	1
ANTXXI/3	521	B	3/2/2004	2.1195	-49.2177	248.339	248.339	1	250.638	1	1.0744	1	34.087	1	2191.53	1	0.02	1	0.19	1	36.7	1	2.3	1	32.8	1
