Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature [?C]	QF	Salinity (psu)	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	10.109	1	10.196	1	4.0378	1	33.88	1	2130.62	1			0.2	1	0.37	1	12.7	1	1.68	1	24.1	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	19.834	1	20.006	1	4.0384	1	33.88	1	2131.81	1	2289.4	1	2.05	1	0.37	1	12.8	1	4.96	1	22.4	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	29.35	1	29.606	1	4.0381	1	33.8801	1	2131.71	1	2292.6	1	1.14	1	0.37	1	12.8	1	4.96	1	23.4	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	40.139	1	40.49	1	4.0381	1	33.8801	1	2131.43	1	2288.4	1	0.18	1	0.37	1	12.7	1	1.64	1	24.2	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	59.174	1	59.695	1	4.0396	1	33.88	1	2132.42	1	2290.4	1	0.19	1	0.39	1	12.7	1	1.64	1	24.1	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	78.585	1	79.279	1	4.0344	1	33.8803	1	2131.01	1	2292	1	1.13	1	0.44	1	12.7	1	3.3	1	23.2	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	98.671	1	99.548	1	4.0211	1	33.8802	1	2133.08	1	2291.2	1	0.19	1	0.51	1	13.4	1	1.68	1	24.3	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	118.462	1	119.521	1	3.8005	1	33.8884	1	2140.17	1	2293.7	1	0.2	1	0.92	1	15.9	1	1.8	1	24.9	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	136.888	1	138.118	1	2.7807	1	33.935	1	2157.13	1	2291.4	1	0.21	1	1.06	1	23.4	1	2.08	1	27.4	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	150.315	1	151.671	1	2.6844	1	33.9371	1	2158.56	1	2290.3	1	0.21	1	1.02	1	24.1	1	2.12	1	27.7	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	198.169	1	199.98	1	1.2419	1	34.0367	1	2184.98	1	2293.7	1	0.02	1	0.02	1	33.2	1	2.39	1	32.1	1
ANTXXI/3	543b	B	03/04/2004	2.4562	-49.4838	247.782	247.782	1	250.076	1	1.2356	1	34.1393	1	2199.59	1	2302.6	1	0.01	1	0.02	1	40.8	1	2.57	1	34	1
