Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	60.629	1	61.163	1	4.2174	1	33.8575	1	2133.52	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	115.806	1	116.84	1	3.5517	1	33.8948	1	2146.91	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	148.669	1	150.009	1	2.5032	1	33.9436	1	2163.41	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	197.721	1	199.527	1	1.2159	1	34.0451	1	2185.89	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	247.678	1	249.971	1	1.1552	1	34.1248	1	2199.42	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	297.165	1	299.952	1	1.5266	1	34.2364	1	2218.02	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	345.711	1	348.995	1	1.799	1	34.3402	1	2234.31	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	395.757	1	399.564	1	1.9309	1	34.4018	1	2243.23	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	495.758	1	500.65	1	2.0571	1	34.4943	1	2253.61	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	593.217	1	599.212	1	2.1654	1	34.554	1	2257.17	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	693.308	1	700.485	1	2.1843	1	34.612	1	2259.77	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	791.46	1	799.844	1	2.1508	1	34.6543	1	2260.21	1		1		1		1		1		1
ANTXXI/3	546b	B	03/09/2004	2.137	-49.45966667	989.569	989.569	1	1000.531	1	2.1559	1	34.709	1	2254.02	1		1		1		1		1		1
