                       UTC	     Lon	     Lat	  TdTdTd
Jan 21 2004  6:00:00:000PM	    18.4	   -33.9	    17.9	
Jan 21 2004  9:00:00:000PM	    18.1	   -34.2	    20.0	
Jan 22 2004 12:00:00:000AM	    18.1	   -34.8	    20.2	
Jan 22 2004  3:00:00:000AM	    18.0	   -35.5	    17.5	
Jan 22 2004  6:00:00:000AM	    17.9	   -36.1	    15.3	
Jan 22 2004  9:00:00:000AM	    17.9	   -36.7	    15.4	
Jan 22 2004 12:00:00:000PM	    17.8	   -37.3	    14.1	
Jan 22 2004  3:00:00:000PM	    17.7	   -38.0	    15.3	
Jan 22 2004  6:00:00:000PM	    17.7	   -38.6	    13.9	
Jan 22 2004  9:00:00:000PM	    17.6	   -39.2	    10.6	
Jan 23 2004 12:00:00:000AM	    17.5	   -39.8	    10.3	
Jan 23 2004  3:00:00:000AM	    17.5	   -40.4	    11.5	
Jan 23 2004  6:00:00:000AM	    17.4	   -41.0	    11.7	
Jan 23 2004  9:00:00:000AM	    17.4	   -41.6	    11.9	
Jan 23 2004 12:00:00:000PM	    17.4	   -42.2	    11.7	
Jan 23 2004  3:00:00:000PM	    17.3	   -42.9	    11.2	
Jan 23 2004  6:00:00:000PM	    17.2	   -43.5	    11.1	
Jan 23 2004  9:00:00:000PM	    17.1	   -44.2	     9.9	
Jan 24 2004 12:00:00:000AM	    17.1	   -44.8	    10.0	
Jan 24 2004  3:00:00:000AM	    17.0	   -45.4	    10.0	
Jan 24 2004  6:00:00:000AM	    17.0	   -45.9	     8.5	
Jan 24 2004  9:00:00:000AM	    17.0	   -46.0	     7.8	
Jan 24 2004 12:00:00:000PM	    17.0	   -45.9	     8.2	
Jan 24 2004  3:00:00:000PM	    16.9	   -46.2	     7.8	
Jan 24 2004  6:00:00:000PM	    16.9	   -46.6	     7.1	
Jan 24 2004  9:00:00:000PM	    17.0	   -47.0	     6.8	
Jan 25 2004 12:00:00:000AM	    16.9	   -47.4	     5.8	
Jan 25 2004  3:00:00:000AM	    16.9	   -47.7	     3.3	
Jan 25 2004  6:00:00:000AM	    16.9	   -48.1	     1.8	
Jan 25 2004  9:00:00:000AM	    16.9	   -48.5	    -0.7	
Jan 25 2004 12:00:00:000PM	    16.9	   -48.7	    -1.2	
Jan 25 2004  3:00:00:000PM	    17.0	   -48.9	    -1.9	
Jan 25 2004  6:00:00:000PM	    17.0	   -49.1	    -1.8	
Jan 25 2004  9:00:00:000PM	    17.0	   -49.3	    -1.4	
Jan 26 2004 12:00:00:000AM	    16.9	   -49.6	    -0.4	
Jan 26 2004  3:00:00:000AM	    16.9	   -49.8	    -0.9	
Jan 26 2004  6:00:00:000AM	    17.0	   -50.1	    -0.2	
Jan 26 2004  9:00:00:000AM	    16.9	   -50.3	     0.5	
Jan 26 2004 12:00:00:000PM	    17.0	   -50.5	     0.6	
Jan 26 2004  3:00:00:000PM	    17.0	   -50.7	     0.9	
Jan 26 2004  6:00:00:000PM	    17.0	   -51.0	     0.6	
Jan 26 2004  9:00:00:000PM	    17.0	   -51.3	     0.4	
Jan 27 2004 12:00:00:000AM	    17.0	   -51.5	        	
Jan 27 2004  3:00:00:000AM	    17.0	   -51.8	    -0.6	
Jan 27 2004  6:00:00:000AM	    17.0	   -52.0	    -0.7	
Jan 27 2004  9:00:00:000AM	    17.0	   -52.0	        	
Jan 27 2004 12:00:00:000PM	    17.4	   -51.5	     0.9	
Jan 27 2004  3:00:00:000PM	    17.9	   -51.0	     0.4	
Jan 27 2004  6:00:00:000PM	    18.4	   -50.5	     0.9	
Jan 27 2004  9:00:00:000PM	    18.9	   -50.0	     0.7	
Jan 28 2004 12:00:00:000AM	    18.8	   -50.0	    -0.3	
Jan 28 2004  3:00:00:000AM	    17.8	   -50.1	    -1.2	
Jan 28 2004  6:00:00:000AM	    16.9	   -50.2	    -0.3	
Jan 28 2004  9:00:00:000AM	    16.0	   -50.4	    -0.4	
Jan 28 2004 12:00:00:000PM	    15.2	   -50.5	     1.8	
Jan 28 2004  3:00:00:000PM	    16.1	   -50.3	     3.4	
Jan 28 2004  6:00:00:000PM	    17.1	   -50.1	     3.0	
Jan 28 2004  9:00:00:000PM	    18.0	   -49.9	     2.9	
Jan 29 2004 12:00:00:000AM	    18.9	   -49.7	     1.9	
Jan 29 2004  3:00:00:000AM	    18.8	   -49.3	     1.3	
Jan 29 2004  6:00:00:000AM	    18.0	   -49.3	     3.8	
Jan 29 2004  9:00:00:000AM	    17.6	   -49.4	     4.6	
Jan 29 2004 12:00:00:000PM	    17.6	   -49.7	     3.8	
Jan 29 2004  3:00:00:000PM	    17.6	   -49.9	     3.4	
Jan 29 2004  6:00:00:000PM	    17.6	   -50.2	     2.7	
Jan 29 2004  9:00:00:000PM	    17.6	   -50.5	     2.6	
Jan 30 2004 12:00:00:000AM	    18.0	   -50.7	     3.5	
Jan 30 2004  3:00:00:000AM	    18.3	   -50.5	     4.0	
Jan 30 2004  6:00:00:000AM	    18.3	   -50.1	     4.4	
Jan 30 2004  9:00:00:000AM	    18.3	   -49.8	     4.6	
Jan 30 2004 12:00:00:000PM	    18.3	   -49.5	     4.6	
Jan 30 2004  3:00:00:000PM	    18.3	   -49.3	     3.9	
Jan 30 2004  6:00:00:000PM	    18.6	   -49.2	     4.9	
Jan 30 2004  9:00:00:000PM	    19.0	   -49.5	     4.1	
Jan 31 2004 12:00:00:000AM	    18.9	   -49.8	     3.9	
Jan 31 2004  3:00:00:000AM	    19.0	   -50.1	     4.2	
Jan 31 2004  6:00:00:000AM	    19.4	   -50.3	     4.0	
Jan 31 2004  9:00:00:000AM	    19.6	   -50.1	     3.8	
