                       UTC	     Lon	     Lat	     TTT
Jan 21 2004  6:00:00:000PM	    18.4	   -33.9	    27.6	
Jan 21 2004  9:00:00:000PM	    18.1	   -34.2	    20.9	
Jan 22 2004 12:00:00:000AM	    18.1	   -34.8	    21.5	
Jan 22 2004  3:00:00:000AM	    18.0	   -35.5	    19.6	
Jan 22 2004  6:00:00:000AM	    17.9	   -36.1	    18.5	
Jan 22 2004  9:00:00:000AM	    17.9	   -36.7	    18.6	
Jan 22 2004 12:00:00:000PM	    17.8	   -37.3	    19.3	
Jan 22 2004  3:00:00:000PM	    17.7	   -38.0	    19.2	
Jan 22 2004  6:00:00:000PM	    17.7	   -38.6	    17.8	
Jan 22 2004  9:00:00:000PM	    17.6	   -39.2	    16.2	
Jan 23 2004 12:00:00:000AM	    17.5	   -39.8	    15.8	
Jan 23 2004  3:00:00:000AM	    17.5	   -40.4	    16.0	
Jan 23 2004  6:00:00:000AM	    17.4	   -41.0	    13.1	
Jan 23 2004  9:00:00:000AM	    17.4	   -41.6	    13.3	
Jan 23 2004 12:00:00:000PM	    17.4	   -42.2	    13.1	
Jan 23 2004  3:00:00:000PM	    17.3	   -42.9	    12.5	
Jan 23 2004  6:00:00:000PM	    17.2	   -43.5	    12.1	
Jan 23 2004  9:00:00:000PM	    17.1	   -44.2	    10.7	
Jan 24 2004 12:00:00:000AM	    17.1	   -44.8	    10.8	
Jan 24 2004  3:00:00:000AM	    17.0	   -45.4	    10.8	
Jan 24 2004  6:00:00:000AM	    17.0	   -45.9	     9.1	
Jan 24 2004  9:00:00:000AM	    17.0	   -46.0	     8.4	
Jan 24 2004 12:00:00:000PM	    17.0	   -45.9	     8.8	
Jan 24 2004  3:00:00:000PM	    16.9	   -46.2	     8.5	
Jan 24 2004  6:00:00:000PM	    16.9	   -46.6	     7.7	
Jan 24 2004  9:00:00:000PM	    17.0	   -47.0	     7.4	
Jan 25 2004 12:00:00:000AM	    16.9	   -47.4	     6.3	
Jan 25 2004  3:00:00:000AM	    16.9	   -47.7	     3.7	
Jan 25 2004  6:00:00:000AM	    16.9	   -48.1	     2.6	
Jan 25 2004  9:00:00:000AM	    16.9	   -48.5	     2.0	
Jan 25 2004 12:00:00:000PM	    16.9	   -48.7	     2.5	
Jan 25 2004  3:00:00:000PM	    17.0	   -48.9	     2.8	
Jan 25 2004  6:00:00:000PM	    17.0	   -49.1	     2.6	
Jan 25 2004  9:00:00:000PM	    17.0	   -49.3	     2.0	
Jan 26 2004 12:00:00:000AM	    16.9	   -49.6	     1.7	
Jan 26 2004  3:00:00:000AM	    16.9	   -49.8	     1.4	
Jan 26 2004  6:00:00:000AM	    17.0	   -50.1	     1.3	
Jan 26 2004  9:00:00:000AM	    16.9	   -50.3	     2.0	
Jan 26 2004 12:00:00:000PM	    17.0	   -50.5	     2.1	
Jan 26 2004  3:00:00:000PM	    17.0	   -50.7	     2.5	
Jan 26 2004  6:00:00:000PM	    17.0	   -51.0	     2.2	
Jan 26 2004  9:00:00:000PM	    17.0	   -51.3	     2.1	
Jan 27 2004 12:00:00:000AM	    17.0	   -51.5	     2.0	
Jan 27 2004  3:00:00:000AM	    17.0	   -51.8	     1.4	
Jan 27 2004  6:00:00:000AM	    17.0	   -52.0	     1.2	
Jan 27 2004  9:00:00:000AM	    17.0	   -52.0	     1.5	
Jan 27 2004 12:00:00:000PM	    17.4	   -51.5	     2.2	
Jan 27 2004  3:00:00:000PM	    17.9	   -51.0	     2.4	
Jan 27 2004  6:00:00:000PM	    18.4	   -50.5	     2.6	
Jan 27 2004  9:00:00:000PM	    18.9	   -50.0	     2.4	
Jan 28 2004 12:00:00:000AM	    18.8	   -50.0	     2.1	
Jan 28 2004  3:00:00:000AM	    17.8	   -50.1	     1.0	
Jan 28 2004  6:00:00:000AM	    16.9	   -50.2	     2.0	
Jan 28 2004  9:00:00:000AM	    16.0	   -50.4	     2.8	
Jan 28 2004 12:00:00:000PM	    15.2	   -50.5	     3.6	
Jan 28 2004  3:00:00:000PM	    16.1	   -50.3	     4.0	
Jan 28 2004  6:00:00:000PM	    17.1	   -50.1	     3.5	
Jan 28 2004  9:00:00:000PM	    18.0	   -49.9	     3.6	
Jan 29 2004 12:00:00:000AM	    18.9	   -49.7	     3.6	
Jan 29 2004  3:00:00:000AM	    18.8	   -49.3	     3.8	
Jan 29 2004  6:00:00:000AM	    18.0	   -49.3	     5.0	
Jan 29 2004  9:00:00:000AM	    17.6	   -49.4	     5.4	
Jan 29 2004 12:00:00:000PM	    17.6	   -49.7	     4.5	
Jan 29 2004  3:00:00:000PM	    17.6	   -49.9	     4.1	
