                       UTC	     Lon	     Lat	  dd	      ff
Jan 21 2004  6:00:00:000PM	    18.4	   -33.9	 130	    5.00	
Jan 21 2004  9:00:00:000PM	    18.1	   -34.2	 150	   15.00	
Jan 22 2004 12:00:00:000AM	    18.1	   -34.8	 150	   13.00	
Jan 22 2004  3:00:00:000AM	    18.0	   -35.5	 170	   14.00	
Jan 22 2004  6:00:00:000AM	    17.9	   -36.1	 170	   12.00	
Jan 22 2004  9:00:00:000AM	    17.9	   -36.7	 170	    7.00	
Jan 22 2004 12:00:00:000PM	    17.8	   -37.3	 190	    8.00	
Jan 22 2004  3:00:00:000PM	    17.7	   -38.0	 220	    8.00	
Jan 22 2004  6:00:00:000PM	    17.7	   -38.6	 200	    7.00	
Jan 22 2004  9:00:00:000PM	    17.6	   -39.2	 180	    6.00	
Jan 23 2004 12:00:00:000AM	    17.5	   -39.8	 200	    6.00	
Jan 23 2004  3:00:00:000AM	    17.5	   -40.4	 180	    4.00	
Jan 23 2004  6:00:00:000AM	    17.4	   -41.0	  80	    1.00	
Jan 23 2004  9:00:00:000AM	    17.4	   -41.6	 340	    4.00	
Jan 23 2004 12:00:00:000PM	    17.4	   -42.2	 330	    3.00	
Jan 23 2004  3:00:00:000PM	    17.3	   -42.9	 300	    4.00	
Jan 23 2004  6:00:00:000PM	    17.2	   -43.5	 300	    4.00	
Jan 23 2004  9:00:00:000PM	    17.1	   -44.2	 330	    6.00	
Jan 24 2004 12:00:00:000AM	    17.1	   -44.8	 340	    8.00	
Jan 24 2004  3:00:00:000AM	    17.0	   -45.4	 350	    8.00	
Jan 24 2004  6:00:00:000AM	    17.0	   -45.9	 310	    8.00	
Jan 24 2004  9:00:00:000AM	    17.0	   -46.0	 320	    7.00	
Jan 24 2004 12:00:00:000PM	    17.0	   -45.9	 310	    8.00	
Jan 24 2004  3:00:00:000PM	    16.9	   -46.2	 320	    7.00	
Jan 24 2004  6:00:00:000PM	    16.9	   -46.6	 340	    4.00	
Jan 24 2004  9:00:00:000PM	    17.0	   -47.0	 350	    5.00	
Jan 25 2004 12:00:00:000AM	    16.9	   -47.4	 240	    6.00	
Jan 25 2004  3:00:00:000AM	    16.9	   -47.7	 180	   10.00	
Jan 25 2004  6:00:00:000AM	    16.9	   -48.1	 170	    9.00	
Jan 25 2004  9:00:00:000AM	    16.9	   -48.5	 150	    6.00	
Jan 25 2004 12:00:00:000PM	    16.9	   -48.7	 150	    5.00	
Jan 25 2004  3:00:00:000PM	    17.0	   -48.9	 110	    6.00	
Jan 25 2004  6:00:00:000PM	    17.0	   -49.1	  90	    6.00	
Jan 25 2004  9:00:00:000PM	    17.0	   -49.3	  70	    6.00	
Jan 26 2004 12:00:00:000AM	    16.9	   -49.6	  90	    5.00	
Jan 26 2004  3:00:00:000AM	    16.9	   -49.8	  80	    7.00	
Jan 26 2004  6:00:00:000AM	    17.0	   -50.1	  80	    7.00	
Jan 26 2004  9:00:00:000AM	    16.9	   -50.3	  50	    6.00	
Jan 26 2004 12:00:00:000PM	    17.0	   -50.5	  20	    2.00	
Jan 26 2004  3:00:00:000PM	    17.0	   -50.7	  30	    1.00	
Jan 26 2004  6:00:00:000PM	    17.0	   -51.0	  30	    3.00	
Jan 26 2004  9:00:00:000PM	    17.0	   -51.3	  20	    4.00	
Jan 27 2004 12:00:00:000AM	    17.0	   -51.5	  20	    5.00	
Jan 27 2004  3:00:00:000AM	    17.0	   -51.8	  20	    6.00	
Jan 27 2004  6:00:00:000AM	    17.0	   -52.0	  40	    5.00	
Jan 27 2004  9:00:00:000AM	    17.0	   -52.0	  60	    4.00	
Jan 27 2004 12:00:00:000PM	    17.4	   -51.5	  60	    6.00	
Jan 27 2004  3:00:00:000PM	    17.9	   -51.0	  70	    5.00	
Jan 27 2004  6:00:00:000PM	    18.4	   -50.5	 100	    8.00	
Jan 27 2004  9:00:00:000PM	    18.9	   -50.0	 130	   10.00	
Jan 28 2004 12:00:00:000AM	    18.8	   -50.0	 140	   10.00	
Jan 28 2004  3:00:00:000AM	    17.8	   -50.1	 140	    7.00	
Jan 28 2004  6:00:00:000AM	    16.9	   -50.2	 140	    5.00	
Jan 28 2004  9:00:00:000AM	    16.0	   -50.4	 360	    2.00	
Jan 28 2004 12:00:00:000PM	    15.2	   -50.5	 310	    6.00	
Jan 28 2004  3:00:00:000PM	    16.1	   -50.3	 300	    7.00	
Jan 28 2004  6:00:00:000PM	    17.1	   -50.1	 270	    9.00	
Jan 28 2004  9:00:00:000PM	    18.0	   -49.9	 280	    8.00	
Jan 29 2004 12:00:00:000AM	    18.9	   -49.7	 300	   11.00	
Jan 29 2004  3:00:00:000AM	    18.8	   -49.3	 330	   13.00	
Jan 29 2004  6:00:00:000AM	    18.0	   -49.3	 340	   15.00	
Jan 29 2004  9:00:00:000AM	    17.6	   -49.4	 310	   13.00	
Jan 29 2004 12:00:00:000PM	    17.6	   -49.7	 280	   11.00	
Jan 29 2004  3:00:00:000PM	    17.6	   -49.9	 280	    9.00	
Jan 29 2004  6:00:00:000PM	    17.6	   -50.2	 310	    8.00	
Jan 29 2004  9:00:00:000PM	    17.6	   -50.5	 340	    7.00	
Jan 30 2004 12:00:00:000AM	    18.0	   -50.7	 350	    9.00	
Jan 30 2004  3:00:00:000AM	    18.3	   -50.5	 350	   11.00	
Jan 30 2004  6:00:00:000AM	    18.3	   -50.1	 340	   11.00	
Jan 30 2004  9:00:00:000AM	    18.3	   -49.8	 330	   10.00	
Jan 30 2004 12:00:00:000PM	    18.3	   -49.5	 310	   11.00	
Jan 30 2004  3:00:00:000PM	    18.3	   -49.3	 310	   11.00	
Jan 30 2004  6:00:00:000PM	    18.6	   -49.2	 320	   10.00	
Jan 30 2004  9:00:00:000PM	    19.0	   -49.5	 330	   12.00	
Jan 31 2004 12:00:00:000AM	    18.9	   -49.8	 340	   12.00	
Jan 31 2004  3:00:00:000AM	    19.0	   -50.1	 330	   14.00	
Jan 31 2004  6:00:00:000AM	    19.4	   -50.3	 320	   10.00	
Jan 31 2004  9:00:00:000AM	    19.6	   -50.1	 340	   10.00	
Jan 31 2004 12:00:00:000PM	    19.6	   -49.7	 330	   10.00	
Jan 31 2004  3:00:00:000PM	    19.6	   -49.4	 320	    9.00	
Jan 31 2004  6:00:00:000PM	    19.3	   -49.4	 340	   12.00	
Jan 31 2004  9:00:00:000PM	    18.6	   -49.7	 330	   13.00	
Feb  1 2004 12:00:00:000AM	    17.9	   -50.0	 280	   11.00	
Feb  1 2004  3:00:00:000AM	    18.1	   -49.4	 280	   10.00	
Feb  1 2004  6:00:00:000AM	    18.3	   -49.7	 260	   11.00	
Feb  1 2004  9:00:00:000AM	    18.4	   -49.7	 280	   12.00	
Feb  1 2004 12:00:00:000PM	    18.8	   -49.5	 270	   11.00	
Feb  1 2004  3:00:00:000PM	    18.5	   -49.7	 260	   11.00	
Feb  1 2004  6:00:00:000PM	    18.3	   -49.7	 270	    8.00	
Feb  1 2004  9:00:00:000PM	    18.2	   -49.7	 320	    4.00	
Feb  2 2004 12:00:00:000AM	    18.2	   -49.7	  10	    8.00	
Feb  2 2004  3:00:00:000AM	    18.2	   -49.7	  20	   15.00	
Feb  2 2004  6:00:00:000AM	    18.3	   -49.7	 330	   15.00	
Feb  2 2004  9:00:00:000AM	    18.3	   -49.7	 290	   14.00	
Feb  2 2004 12:00:00:000PM	    18.3	   -49.6	 290	   12.00	
Feb  2 2004  3:00:00:000PM	    18.2	   -49.7	 300	    9.00	
Feb  2 2004  6:00:00:000PM	    18.2	   -49.7	 310	    6.00	
Feb  2 2004  9:00:00:000PM	    18.2	   -49.6	 330	    5.00	
Feb  3 2004 12:00:00:000AM	    18.2	   -49.6	 300	    6.00	
Feb  3 2004  3:00:00:000AM	    18.4	   -49.7	 240	    6.00	
Feb  3 2004  6:00:00:000AM	    18.3	   -49.7	 250	    4.00	
Feb  3 2004  9:00:00:000AM	    18.0	   -49.7	 190	    6.00	
Feb  3 2004 12:00:00:000PM	    17.2	   -49.7	 170	    8.00	
Feb  3 2004  3:00:00:000PM	    16.4	   -49.7	 180	    5.00	
Feb  3 2004  6:00:00:000PM	    15.8	   -49.7	 180	    5.00	
Feb  3 2004  9:00:00:000PM	    14.7	   -49.7	 190	    5.00	
Feb  4 2004 12:00:00:000AM	    13.8	   -49.7	 230	    7.00	
Feb  4 2004  3:00:00:000AM	    12.9	   -49.7	 230	    7.00	
Feb  4 2004  6:00:00:000AM	    12.1	   -49.7	 240	    5.00	
Feb  4 2004  9:00:00:000AM	    11.2	   -49.7	 330	    6.00	
Feb  4 2004 12:00:00:000PM	    10.3	   -49.7	  10	   11.00	
Feb  4 2004  3:00:00:000PM	     9.4	   -49.7	  30	   16.00	
Feb  4 2004  6:00:00:000PM	     8.5	   -49.7	  40	   21.00	
Feb  4 2004  9:00:00:000PM	     7.7	   -49.7	  30	   22.00	
Feb  5 2004 12:00:00:000AM	     7.0	   -49.7	 270	   20.00	
Feb  5 2004  3:00:00:000AM	     6.4	   -49.7	 260	   25.00	
Feb  5 2004  6:00:00:000AM	     5.9	   -49.7	 250	   21.00	
Feb  5 2004  9:00:00:000AM	     5.6	   -49.7	 260	   18.00	
Feb  5 2004 12:00:00:000PM	     5.9	   -49.4	 260	   13.00	
Feb  5 2004  3:00:00:000PM	     6.0	   -49.1	 300	   12.00	
Feb  5 2004  6:00:00:000PM	     6.1	   -48.6	 320	   15.00	
Feb  5 2004  9:00:00:000PM	     6.1	   -48.1	 310	   17.00	
Feb  6 2004 12:00:00:000AM	     6.0	   -47.6	 300	   16.00	
Feb  6 2004  3:00:00:000AM	     6.0	   -47.1	 290	   15.00	
Feb  6 2004  6:00:00:000AM	     6.1	   -46.6	 290	   12.00	
Feb  6 2004  9:00:00:000AM	     6.0	   -46.2	 300	   11.00	
Feb  6 2004 12:00:00:000PM	     5.6	   -46.1	 330	   11.00	
Feb  6 2004  3:00:00:000PM	     5.3	   -46.1	 350	    8.00	
Feb  6 2004  6:00:00:000PM	     5.0	   -46.2	  10	   10.00	
Feb  6 2004  9:00:00:000PM	     4.5	   -46.2	  30	   14.00	
Feb  7 2004 12:00:00:000AM	     4.1	   -46.2	  20	   17.00	
Feb  7 2004  3:00:00:000AM	     3.7	   -46.2	 340	   17.00	
Feb  7 2004  6:00:00:000AM	     3.2	   -46.2	 330	   18.00	
Feb  7 2004  9:00:00:000AM	     2.9	   -46.2	 310	   15.00	
Feb  7 2004 12:00:00:000PM	     2.6	   -46.1	 310	   17.00	
Feb  7 2004  3:00:00:000PM	     2.3	   -46.1	 310	   18.00	
Feb  7 2004  6:00:00:000PM	     2.0	   -46.1	 310	   19.00	
Feb  7 2004  9:00:00:000PM	     1.8	   -46.1	 290	   19.00	
Feb  8 2004 12:00:00:000AM	     1.7	   -46.0	 290	   19.00	
Feb  8 2004  3:00:00:000AM	     1.5	   -46.0	 280	   17.00	
Feb  8 2004  6:00:00:000AM	     1.3	   -45.9	 290	   12.00	
Feb  8 2004  9:00:00:000AM	     1.1	   -45.9	 310	    9.00	
Feb  8 2004 12:00:00:000PM	     1.3	   -46.2	 340	    8.00	
Feb  8 2004  3:00:00:000PM	     1.6	   -46.6	 350	   12.00	
Feb  8 2004  6:00:00:000PM	     1.9	   -47.2	 350	   12.00	
Feb  8 2004  9:00:00:000PM	     2.1	   -47.7	 350	   14.00	
Feb  9 2004 12:00:00:000AM	     2.1	   -48.2	 300	   12.00	
Feb  9 2004  3:00:00:000AM	     2.1	   -48.7	 270	   20.00	
Feb  9 2004  6:00:00:000AM	     2.1	   -49.1	 250	   16.00	
Feb  9 2004  9:00:00:000AM	     2.1	   -49.6	 270	   16.00	
Feb  9 2004 12:00:00:000PM	     2.0	   -50.0	 280	   17.00	
Feb  9 2004  3:00:00:000PM	     2.0	   -50.5	 290	   18.00	
Feb  9 2004  6:00:00:000PM	     2.0	   -50.8	 270	   16.00	
Feb  9 2004  9:00:00:000PM	     1.7	   -50.4	 270	   19.00	
Feb 10 2004 12:00:00:000AM	     1.6	   -49.9	 280	   18.00	
Feb 10 2004  3:00:00:000AM	     1.5	   -49.4	 260	   17.00	
Feb 10 2004  6:00:00:000AM	     2.2	   -49.4	 270	   13.00	
Feb 10 2004  9:00:00:000AM	     3.1	   -49.3	 280	   15.00	
Feb 10 2004 12:00:00:000PM	     3.3	   -49.5	 270	   16.00	
Feb 10 2004  3:00:00:000PM	     3.1	   -49.8	 240	   13.00	
Feb 10 2004  6:00:00:000PM	     2.6	   -49.9	 230	   13.00	
Feb 10 2004  9:00:00:000PM	     2.3	   -49.6	 230	   11.00	
Feb 11 2004 12:00:00:000AM	     2.4	   -49.5	 230	   11.00	
Feb 11 2004  3:00:00:000AM	     2.4	   -49.6	 250	   11.00	
Feb 11 2004  6:00:00:000AM	     2.3	   -49.6	 250	   10.00	
Feb 11 2004  9:00:00:000AM	     2.2	   -49.5	 270	   10.00	
Feb 11 2004 12:00:00:000PM	     2.2	   -49.4	 290	   10.00	
Feb 11 2004  3:00:00:000PM	     2.2	   -49.3	 320	   13.00	
Feb 11 2004  6:00:00:000PM	     2.2	   -49.3	 320	   11.00	
Feb 11 2004  9:00:00:000PM	     2.2	   -49.4	 310	   11.00	
Feb 12 2004 12:00:00:000AM	     2.2	   -49.4	 280	   11.00	
Feb 12 2004  3:00:00:000AM	     2.2	   -49.4	 290	   11.00	
Feb 12 2004  6:00:00:000AM	     2.2	   -49.4	 300	   13.00	
Feb 12 2004  9:00:00:000AM	     2.2	   -49.4	 310	   14.00	
Feb 12 2004 12:00:00:000PM	     2.2	   -49.3	 310	   14.00	
Feb 12 2004  3:00:00:000PM	     2.2	   -49.4	 310	   13.00	
Feb 12 2004  6:00:00:000PM	     2.2	   -49.4	 310	   13.00	
Feb 12 2004  9:00:00:000PM	     2.2	   -49.4	 310	   13.00	
Feb 13 2004 12:00:00:000AM	     2.2	   -49.4	 280	   13.00	
Feb 13 2004  3:00:00:000AM	     2.3	   -49.3	 260	   11.00	
Feb 13 2004  6:00:00:000AM	     2.3	   -49.4	 270	    9.00	
Feb 13 2004  9:00:00:000AM	     2.2	   -49.5	 280	   11.00	
Feb 13 2004 12:00:00:000PM	     2.2	   -49.4	 310	    8.00	
Feb 13 2004  3:00:00:000PM	     2.2	   -49.4	 300	    7.00	
Feb 13 2004  6:00:00:000PM	     2.1	   -49.3	 250	    7.00	
Feb 13 2004  9:00:00:000PM	     2.1	   -49.2	 180	    4.00	
Feb 14 2004 12:00:00:000AM	     2.1	   -49.2	 240	    3.00	
Feb 14 2004  3:00:00:000AM	     1.8	   -49.0	 230	    9.00	
Feb 14 2004  6:00:00:000AM	     1.3	   -48.7	 250	   11.00	
Feb 14 2004  9:00:00:000AM	     1.3	   -49.1	 260	   14.00	
Feb 14 2004 12:00:00:000PM	     1.3	   -49.3	 250	   16.00	
Feb 14 2004  3:00:00:000PM	     1.3	   -49.6	 250	   13.00	
Feb 14 2004  6:00:00:000PM	     1.3	   -49.9	 260	   18.00	
Feb 14 2004  9:00:00:000PM	     1.3	   -50.2	 260	   15.00	
Feb 15 2004 12:00:00:000AM	     1.3	   -50.4	 270	   16.00	
Feb 15 2004  3:00:00:000AM	     1.6	   -50.6	 240	   13.00	
Feb 15 2004  6:00:00:000AM	     1.6	   -50.2	 260	   16.00	
Feb 15 2004  9:00:00:000AM	     1.6	   -49.8	 260	   16.00	
Feb 15 2004 12:00:00:000PM	     1.6	   -49.5	 260	   15.00	
Feb 15 2004  3:00:00:000PM	     1.6	   -49.3	 280	   16.00	
Feb 15 2004  6:00:00:000PM	     1.6	   -49.0	 290	   17.00	
Feb 15 2004  9:00:00:000PM	     1.7	   -48.7	 300	   15.00	
Feb 16 2004 12:00:00:000AM	     1.9	   -48.9	 280	   15.00	
Feb 16 2004  3:00:00:000AM	     1.9	   -49.2	 250	   13.00	
Feb 16 2004  6:00:00:000AM	     1.9	   -49.5	 250	   16.00	
Feb 16 2004  9:00:00:000AM	     1.9	   -49.7	 240	   13.00	
Feb 16 2004 12:00:00:000PM	     1.9	   -49.9	 260	   14.00	
Feb 16 2004  3:00:00:000PM	     1.9	   -50.3	 270	   15.00	
Feb 16 2004  6:00:00:000PM	     1.9	   -50.5	 260	   13.00	
Feb 16 2004  9:00:00:000PM	     2.2	   -50.5	 270	   11.00	
Feb 17 2004 12:00:00:000AM	     2.2	   -50.3	 280	   10.00	
Feb 17 2004  3:00:00:000AM	     2.2	   -50.1	 290	    8.00	
Feb 17 2004  6:00:00:000AM	     2.2	   -49.9	 330	    8.00	
Feb 17 2004  9:00:00:000AM	     2.2	   -49.7	 350	    8.00	
Feb 17 2004 12:00:00:000PM	     2.2	   -49.4	 290	   10.00	
Feb 17 2004  3:00:00:000PM	     2.2	   -49.2	 290	   12.00	
Feb 17 2004  6:00:00:000PM	     2.2	   -49.0	 310	   15.00	
Feb 17 2004  9:00:00:000PM	     2.2	   -48.8	 280	   17.00	
Feb 18 2004 12:00:00:000AM	     2.3	   -48.8	 280	   16.00	
Feb 18 2004  3:00:00:000AM	     2.5	   -49.0	 270	   13.00	
Feb 18 2004  6:00:00:000AM	     2.5	   -49.3	 250	   10.00	
Feb 18 2004  9:00:00:000AM	     2.5	   -49.6	 240	    8.00	
Feb 18 2004 12:00:00:000PM	     2.5	   -50.0	 200	    4.00	
Feb 18 2004  3:00:00:000PM	     2.5	   -50.3	 170	    2.00	
Feb 18 2004  6:00:00:000PM	     2.6	   -50.6	 130	    1.00	
Feb 18 2004  9:00:00:000PM	     2.8	   -50.3	 100	    3.00	
Feb 19 2004 12:00:00:000AM	     2.8	   -49.9	  50	    5.00	
Feb 19 2004  3:00:00:000AM	     2.8	   -49.8	  10	    4.00	
Feb 19 2004  6:00:00:000AM	     2.8	   -49.5	  30	    3.00	
Feb 19 2004  9:00:00:000AM	     2.8	   -49.4	  10	    3.00	
Feb 19 2004 12:00:00:000PM	     2.8	   -49.1	 340	    4.00	
Feb 19 2004  3:00:00:000PM	     2.8	   -48.8	 290	    6.00	
Feb 19 2004  6:00:00:000PM	     3.1	   -48.9	 290	    5.00	
Feb 19 2004  9:00:00:000PM	     3.1	   -49.4	 310	    5.00	
Feb 20 2004 12:00:00:000AM	     3.1	   -49.8	 340	    4.00	
Feb 20 2004  3:00:00:000AM	     3.1	   -50.1	 330	    7.00	
Feb 20 2004  6:00:00:000AM	     3.1	   -50.5	 330	    7.00	
Feb 20 2004  9:00:00:000AM	     3.4	   -50.4	 320	    9.00	
Feb 20 2004 12:00:00:000PM	     3.4	   -50.0	 300	    9.00	
Feb 20 2004  3:00:00:000PM	     3.4	   -49.7	 310	   10.00	
Feb 20 2004  6:00:00:000PM	     3.4	   -49.3	 320	   10.00	
Feb 20 2004  9:00:00:000PM	     3.4	   -49.0	 300	   11.00	
Feb 21 2004 12:00:00:000AM	     3.3	   -48.8	 260	   18.00	
Feb 21 2004  3:00:00:000AM	     2.8	   -49.1	 240	   22.00	
Feb 21 2004  6:00:00:000AM	     2.5	   -49.2	 220	   17.00	
Feb 21 2004  9:00:00:000AM	     2.2	   -49.4	 240	   14.00	
Feb 21 2004 12:00:00:000PM	     1.8	   -49.5	 240	   14.00	
Feb 21 2004  3:00:00:000PM	     1.9	   -49.4	 250	   12.00	
Feb 21 2004  6:00:00:000PM	     2.4	   -49.2	 250	   10.00	
Feb 21 2004  9:00:00:000PM	     2.1	   -49.2	 260	   11.00	
Feb 22 2004 12:00:00:000AM	     1.8	   -49.1	 260	   10.00	
Feb 22 2004  3:00:00:000AM	     2.0	   -49.3	 280	    9.00	
Feb 22 2004  6:00:00:000AM	     1.8	   -49.2	 310	   11.00	
Feb 22 2004  9:00:00:000AM	     2.0	   -49.1	 320	   12.00	
Feb 22 2004 12:00:00:000PM	     2.0	   -49.1	 320	   15.00	
Feb 22 2004  3:00:00:000PM	     2.0	   -49.1	 310	   14.00	
Feb 22 2004  6:00:00:000PM	     2.0	   -49.1	 310	   12.00	
Feb 22 2004  9:00:00:000PM	     2.0	   -49.2	 310	   12.00	
Feb 23 2004 12:00:00:000AM	     2.1	   -49.1	 310	   10.00	
Feb 23 2004  3:00:00:000AM	     2.1	   -49.0	 320	   10.00	
Feb 23 2004  6:00:00:000AM	     2.0	   -49.0	 300	   10.00	
Feb 23 2004  9:00:00:000AM	     2.0	   -49.0	 300	   12.00	
Feb 23 2004 12:00:00:000PM	     2.0	   -49.0	 270	   12.00	
Feb 23 2004  3:00:00:000PM	     2.0	   -48.9	 270	   14.00	
Feb 23 2004  6:00:00:000PM	     2.2	   -49.1	 270	   20.00	
Feb 23 2004  9:00:00:000PM	     2.2	   -49.1	 250	   20.00	
Feb 24 2004 12:00:00:000AM	     2.0	   -49.1	 260	   17.00	
Feb 24 2004  3:00:00:000AM	     2.0	   -49.2	 250	   16.00	
Feb 24 2004  6:00:00:000AM	     2.5	   -49.2	 250	   14.00	
Feb 24 2004  9:00:00:000AM	     2.0	   -49.2	 260	   13.00	
Feb 24 2004 12:00:00:000PM	     2.3	   -49.3	 290	    8.00	
Feb 24 2004  3:00:00:000PM	     2.3	   -49.4	 330	    9.00	
Feb 24 2004  6:00:00:000PM	     2.3	   -49.2	 330	   12.00	
Feb 24 2004  9:00:00:000PM	     2.3	   -49.3	 320	   15.00	
Feb 25 2004 12:00:00:000AM	     2.3	   -49.3	 320	   14.00	
Feb 25 2004  3:00:00:000AM	     2.4	   -49.3	 320	   15.00	
Feb 25 2004  6:00:00:000AM	     2.4	   -49.3	 340	   16.00	
Feb 25 2004  9:00:00:000AM	     2.2	   -49.2	 330	   19.00	
Feb 25 2004 12:00:00:000PM	     2.6	   -49.2	 310	   14.00	
Feb 25 2004  3:00:00:000PM	     2.5	   -49.3	 320	   14.00	
Feb 25 2004  6:00:00:000PM	     2.2	   -49.4	 300	   14.00	
Feb 25 2004  9:00:00:000PM	     2.7	   -49.4	 310	   13.00	
Feb 26 2004 12:00:00:000AM	     2.4	   -49.4	 310	   14.00	
Feb 26 2004  3:00:00:000AM	     2.4	   -49.5	 310	   11.00	
Feb 26 2004  6:00:00:000AM	     2.5	   -49.5	 330	   11.00	
Feb 26 2004  9:00:00:000AM	     2.7	   -49.6	 310	    4.00	
Feb 26 2004 12:00:00:000PM	     2.4	   -49.6	 290	    6.00	
Feb 26 2004  3:00:00:000PM	     2.4	   -49.6	 290	    5.00	
Feb 26 2004  6:00:00:000PM	     2.4	   -49.6	 300	    6.00	
Feb 26 2004  9:00:00:000PM	     2.2	   -49.5	 280	    5.00	
Feb 27 2004 12:00:00:000AM	     2.6	   -49.5	 280	    8.00	
Feb 27 2004  3:00:00:000AM	     2.1	   -49.5	 290	    6.00	
Feb 27 2004  6:00:00:000AM	     2.2	   -49.4	 270	    8.00	
Feb 27 2004  9:00:00:000AM	     2.2	   -49.4	 290	   11.00	
Feb 27 2004 12:00:00:000PM	     2.2	   -49.6	 270	   13.00	
Feb 27 2004  3:00:00:000PM	     2.4	   -49.6	 280	   12.00	
Feb 27 2004  6:00:00:000PM	     2.1	   -49.6	 270	   11.00	
Feb 27 2004  9:00:00:000PM	     2.1	   -49.6	 260	   10.00	
Feb 28 2004 12:00:00:000AM	     2.0	   -49.5	 250	   11.00	
Feb 28 2004  3:00:00:000AM	     2.0	   -49.5	 240	   11.00	
Feb 28 2004  6:00:00:000AM	     2.0	   -49.5	 240	   15.00	
Feb 28 2004  9:00:00:000AM	     1.9	   -49.5	 250	   15.00	
Feb 28 2004 12:00:00:000PM	     1.8	   -49.5	 250	   16.00	
Feb 28 2004  3:00:00:000PM	     1.9	   -49.7	 260	   19.00	
Feb 28 2004  6:00:00:000PM	     2.0	   -49.9	 260	   13.00	
Feb 28 2004  9:00:00:000PM	     2.6	   -49.8	 260	   14.00	
Feb 29 2004 12:00:00:000AM	     2.9	   -49.7	 250	   13.00	
Feb 29 2004  3:00:00:000AM	     2.8	   -49.5	 270	   12.00	
Feb 29 2004  6:00:00:000AM	     2.5	   -49.5	 300	    8.00	
Feb 29 2004  9:00:00:000AM	     2.0	   -49.4	 300	    8.00	
Feb 29 2004 12:00:00:000PM	     1.6	   -49.4	 310	    9.00	
Feb 29 2004  3:00:00:000PM	     1.7	   -49.2	 260	   10.00	
Feb 29 2004  6:00:00:000PM	     2.3	   -49.2	 260	    7.00	
Feb 29 2004  9:00:00:000PM	     2.3	   -49.2	 230	    7.00	
Mar  1 2004 12:00:00:000AM	     2.3	   -49.3	 190	   10.00	
Mar  1 2004  3:00:00:000AM	     2.3	   -49.2	 190	   16.00	
Mar  1 2004  6:00:00:000AM	     2.3	   -49.2	 210	   14.00	
Mar  1 2004  9:00:00:000AM	     2.3	   -49.2	 220	   16.00	
