 DatumUhrzeit                           GeoLaenge             GeoBreite                U_Wind                V_Wind            Temperatur              Taupunkt            Dampfdruck             Luftdruck  GesamtBedeckung 
 --------------------------  --------------------  --------------------  --------------------  --------------------  --------------------  --------------------  --------------------  --------------------  --------------- 
 21-01-04 18:00:00                          18.40                -33.90                 -3.83                  3.21                 27.60                 17.90               20.5355               1007.30                  
 21-01-04 21:00:00                          18.10                -34.20                 -7.50                 12.99                 20.90                 20.00               23.4145               1008.90                  
 22-01-04 00:00:00                          18.10                -34.80                 -6.50                 11.26                 21.50                 20.20               23.7063               1010.30                  
 22-01-04 03:00:00                          18.00                -35.50                 -2.43                 13.79                 19.60                 17.50               20.0237               1011.00                  
 22-01-04 06:00:00                          17.90                -36.10                 -2.08                 11.82                 18.50                 15.30               17.4038               1013.60                6 
 22-01-04 09:00:00                          17.90                -36.70                 -1.22                  6.89                 18.60                 15.40               17.5160               1014.80                1 
 22-01-04 12:00:00                          17.80                -37.30                  1.39                  7.88                 19.30                 14.10               16.1055               1015.50                2 
 22-01-04 15:00:00                          17.70                -38.00                  5.14                  6.13                 19.20                 15.30               17.4038               1015.20                7 
 22-01-04 18:00:00                          17.70                -38.60                  2.39                  6.58                 17.80                 13.90               15.8976               1015.70                6 
 22-01-04 21:00:00                          17.60                -39.20                 -0.00                  6.00                 16.20                 10.60               12.7912               1017.30                  
 23-01-04 00:00:00                          17.50                -39.80                  2.05                  5.64                 15.80                 10.30               12.5372               1017.90                  
 23-01-04 03:00:00                          17.50                -40.40                 -0.00                  4.00                 16.00                 11.50               13.5803               1017.80                  
 23-01-04 06:00:00                          17.40                -41.00                 -0.98                 -0.17                 13.10                 11.70               13.7614               1019.40                7 
 23-01-04 09:00:00                          17.40                -41.60                  1.37                 -3.76                 13.30                 11.90               13.9446               1019.00                8 
 23-01-04 12:00:00                          17.40                -42.20                  1.50                 -2.60                 13.10                 11.70               13.7614               1018.80                8 
 23-01-04 15:00:00                          17.30                -42.90                  3.46                 -2.00                 12.50                 11.20               13.3127               1017.80                7 
 23-01-04 18:00:00                          17.20                -43.50                  3.46                 -2.00                 12.10                 11.10               13.2245               1017.20                8 
 23-01-04 21:00:00                          17.10                -44.20                  3.00                 -5.20                 10.70                  9.90               12.2055               1016.50                  
 24-01-04 00:00:00                          17.10                -44.80                  2.74                 -7.52                 10.80                 10.00               12.2877               1014.20                  
 24-01-04 03:00:00                          17.00                -45.40                  1.39                 -7.88                 10.80                 10.00               12.2877               1010.60                  
