IdentificatioNO2     NH4     Si      PO4     NO3     depth
424/2_24         0.19    0.64    19.1    1.77    24.9      10
424/2_22         0.19    0.61    19.1    1.75    24.8      20
424/2_21         0.19    0.66    19.1    1.76    24.8      20
424/2_20         0.19    0.60    19.0    1.74    24.9      30
424/2_17         0.19    0.64    19.1    1.75    25.0      40
424/2_15         0.19    0.65    19.1    1.75    25.0      60
424/2_13         0.19    0.74    19.1    1.80    25.0      80
424/2_11         0.19    0.73    19.2    1.77    25.0      90
424/2_10         0.19    0.83    19.4    1.77    25.1      90
424/2_09         0.19    1.10    22.9    1.89    26.2     100
424/2_07         0.18    0.93    27.5    2.07    28.6     120
424/2_05         0.03    0.08    33.4    2.24    31.8     150
424/2_03         0.03    0.08    33.5    2.25    31.7     200
424/2_01         0.02    0.07    39.3    2.38    33.1     250
snatcher         0.22    0.63    18.9    1.76    24.7     100
424/8_24         0.21    0.64    18.9    1.76    24.6       5
424/8_23         0.21    0.63    18.9    1.77    24.6      10
424/8_22         0.21    0.62    18.9    1.76    24.7      20
424/8_18         0.21    0.66    19.0    1.77    24.8      30
424/8_17         0.21    0.65    18.9    1.76    24.8      40
424/8_16         0.21    0.74    19.1    1.78    24.8      70
424/8_15         0.21    1.13    22.8    1.94    26.0      80
424/8_14         0.22    0.96    20.4    1.85    25.2     100
424/8_13         0.21    0.87    19.2    1.81    25.0     115
424/8_12         0.21    1.08    26.9    2.11    28.1     130
424/8_11         0.19    0.80    28.4    2.17    29.0     150
424/8_10         0.04    0.07    32.6    2.30    31.4     200
424/8_09         0.01    0.06    40.9    2.49    33.3     250
424/8_08         0.01    0.09    52.0    2.67    35.4     300
424/8_07         0.01    0.06    59.4    2.78    36.6     350
424/8_06         0.01    0.07    68.7    2.83    37.4     400
424/8_05         0.01    0.08    74.7    2.80    37.2     500
424/8_04         0.01    0.09    78.1    2.80    36.9     600
424/8_03         0.01    0.06    80.3    2.78    36.4     700
424/8_02         0.00    0.07    82.4    2.77    36.0     800
424/8_01         0.00    0.07    83.7    2.61    34.5    1000
424/20_16        0.19    0.60    18.8    1.78    24.7      20
424/20_15        0.19    0.63    18.9    1.79    24.8      50
424/20_14        0.19    0.86    19.7    1.86    25.1     100
424/20_13        0.02    0.09    35.0    2.41    31.6     200
424/20_12        0.01    0.09    73.0    2.93    37.3     500
424/20_09        0.00    0.09    84.0    2.68    34.5    1000
424/20_08        0.00    0.08    99.7    2.56    33.1    2000
424/20_05        0.00    0.08   108.5    2.63    33.6    2500
424/20_04        0.00    0.09   119.1    2.72    34.5    3000
424/20_03        0.01    0.08   123.1    2.75    34.7    3500
424/20_02        0.01    0.09   123.6    2.79    34.7    3913
426/1_24         0.21    0.63    17.5    1.71    24.8      10
426/1_22         0.21    0.65    17.6    1.72    24.8      20
426/1_21         0.21    0.67    17.6    1.73    24.8      20
426/1_20         0.21    0.72    17.7    1.73    24.9      30
426/1_17         0.21    0.73    17.7    1.75    25.0      40
426/1_15         0.21    0.81    18.1    1.77    25.0      60
426/1_13         0.21    0.86    18.3    1.76    25.0      80
426/1_11         0.21    0.93    18.9    1.79    25.0     100
426/1_10         0.21    0.98    19.1    1.81    25.1     110
426/1_09         0.21    1.07    19.7    1.82    25.4     110
426/1_07         0.21    1.16    21.6    1.91    26.1     120
426/1_05         0.17    0.78    29.1    2.15    29.4     150
426/1_03         0.04    0.07    34.4    2.31    31.9     200
426/1_01         0.02    0.08    40.6    2.44    33.4     250
426/7_24         0.25    0.97    19.1    1.76    25.1     100
426/7_23         0.27    1.12    22.4    1.88    26.2     120
426/7_21         0.23    0.79    28.6    2.08    29.0     150
426/7_16         0.04    0.05    34.6    2.23    31.9     200
426/7_12         0.03    0.08    42.9    2.42    33.8     250
426/7_07         0.01    0.06    59.8    2.70    36.7     350
426/7_01         0.00    0.06    69.3    2.76    37.3     450
427/1_24         0.18    0.57    18.5    1.73    24.7      10
427/1_22         0.18    0.56    18.5    1.73    24.8      20
427/1_21         0.18    0.54    18.5    1.73    24.8      20
427/1_20         0.18    0.54    18.5    1.73    24.8      30
427/1_17         0.18    0.56    18.5    1.71    24.7      40
427/1_15         0.18    0.58    18.6    1.70    24.8      60
427/1_13         0.18    0.71    19.0    1.72    24.8      80
427/1_11         0.18    0.73    19.2    1.73    24.8     100
427/1_10         0.18    0.91    19.2    1.74    24.8     100
427/1_09         0.18    1.06    21.0    1.81    25.4     120
427/1_07         0.18    1.20    24.3    1.92    26.7     150
427/1_05         0.14    0.71    29.2    2.08    29.4     180
427/1_03         0.08    0.31    31.3    2.14    30.7     200
427/1_01         0.03    0.16    36.4    2.27    32.2     250
444/1_24         0.19    0.51    12.8    1.72    24.6      50
444/1_23         0.19    0.57    14.8    1.73    24.8     100
444/1_22         0.02    0.18    31.2    2.24    31.3     200
444/1_21         0.03    0.25    54.5    2.57    35.3     500
444/1_20         0.01    0.23    75.1    2.64    36.3     750
444/1_18         0.00    0.19    79.0    2.50    35.0    1000
444/1_17         0.00    0.17    82.5    2.31    32.7    1500
444/1_06         0.00    0.19    93.3    2.31    32.7    2000
444/1_05         0.00    0.18   101.4    2.34    32.9    2500
444/1_03         0.00    0.17   114.4    2.48    34.2    3000
444/1_02         0.00    0.21   118.8    2.52    34.6    3500
444/1_01         0.01    0.20   120.8    2.56    34.6    3933
451/1_18         0.19    0.65    16.5    1.72    24.9      10
451/1_17         0.20    0.64    16.4    1.70    24.9      50
451/1_16         0.19    0.85    16.7    1.73    25.2     100
451/1_14         0.20    0.83    16.9    1.75    25.2     120
451/1_12         0.17    0.93    27.4    2.07    28.6     150
451/1_10         0.03    0.19    34.8    2.27    32.0     200
451/1_08         0.02    0.23    40.8    2.41    33.4     250
451/1_07         0.01    0.20    52.3    2.59    35.6     300
451/1_04         0.01    0.20    59.9    2.62    36.7     350
451/1_01         0.01    0.21    68.3    2.68    37.3     450
452/1_23         0.18    0.51    13.5    1.54    24.3      10
452/1_20         0.18    0.53    13.5    1.56    24.3      30
452/1_16         0.18    0.52    13.5    1.58    24.4      50
452/1_13         0.18    0.57    14.7    1.60    24.6      65
452/1_10         0.18    0.80    17.4    1.70    25.1      80
452/1_07         0.16    0.88    19.6    1.83    26.3     100
452/1_04         0.08    0.38    28.6    2.12    30.2     150
452/1_02         0.02    0.21    35.0    2.31    32.6     200
462/1_21         0.17    0.63     9.3    1.65    23.7      20
462/1_20         0.17    0.63     9.3    1.62    23.7      60
462/1_18         0.17    0.86    14.8    1.73    24.9     100
462/1_17         0.17    0.97    21.1    1.91    26.9     120
462/1_15         0.11    0.23    27.4    2.08    29.8     150
462/1_13         0.02    0.01    31.7    2.18    31.6     200
462/1_10         0.02    0.00    38.7    2.35    33.5     250
462/1_07         0.02    0.01    46.7    2.49    35.1     300
462/1_03         0.01    0.00    62.2    2.68    37.1     450
464/1_23         0.19    0.28    12.8    1.67    24.7      10
464/1_20         0.19    0.33    13.2    1.66    24.7      20
464/1_16         0.19    0.34    13.2    1.67    24.7      40
464/1_13         0.19    0.38    13.6    1.71    24.8      60
464/1_10         0.19    0.55    14.3    1.74    24.8      80
464/1_07         0.19    0.63    15.9    1.75    24.9     100
464/1_04         0.17    0.65    25.6    2.09    28.2     150
464/1_02         0.03    0.00    34.5    2.31    31.9     200
464/1_01         0.02    0.00    34.8    2.30    32.1     200
466/2_23         0.20    0.34    17.3    1.68    24.6      10
466/2_20         0.20    0.34    17.3    1.67    24.6      20
466/2_16         0.20    0.35    17.3    1.66    24.6      40
466/2_13         0.20    0.34    17.3    1.67    24.6      50
466/2_10         0.20    0.43    17.2    1.65    24.7      60
466/2_07         0.20    0.58    17.4    1.66    24.7      90
466/2_04         0.20    1.23    23.3    1.86    26.2     150
466/2_02         0.10    0.18    30.6    2.10    30.4     200
466/2_01         0.10    0.15    30.6    2.08    30.4     200
467/1_06         0.00    0.03    80.8    2.41    32.6    1500
467/1_05         0.00    0.02    87.8    2.38    32.4    1900
467/1_02         0.00    0.02   119.4    2.58    34.7    3500
467/1_04         0.00    0.07   112.4    2.57    34.3    4000
470/1_23         0.19    0.47    15.3    1.70    24.5      10
470/1_20         0.19    0.46    15.4    1.70    24.5      25
470/1_16         0.19    0.47    15.3    1.69    24.5      40
470/1_13         0.19    0.49    15.4    1.69    24.5      60
470/1_10         0.19    0.67    16.1    1.72    24.5      90
470/1_07         0.19    0.67    16.2    1.72    24.6     100
470/1_04         0.20    1.12    23.2    1.98    26.7     150
470/1_02         0.07    0.06    32.2    2.24    31.0     200
470/1_01         0.07    0.05    32.3    2.25    31.0     200
471/1_07         0.19    0.38    13.6    1.71    24.6      20
471/1_06         0.19    0.48    14.2    1.72    24.7      50
471/1_05         0.19    0.66    14.5    1.75    24.8      80
471/1_04         0.17    0.78    23.5    2.03    27.6     120
471/1_03         0.04    0.07    31.6    2.26    31.1     150
471/1_02         0.02    0.06    37.2    2.38    32.7     200
471/1_01         0.02    0.05    44.7    2.53    34.5     250
472/1_23         0.18    0.81     9.1    1.70    23.7      10
472/1_20         0.18    0.80     9.0    1.69    23.7      20
472/1_16         0.18    0.80     9.0    1.69    23.7      40
472/1_13         0.18    0.79     9.1    1.69    23.8      60
472/1_10         0.18    0.70    11.8    1.72    24.5      90
472/1_7          0.18    1.03    14.9    1.85    25.5     120
472/1_4          0.12    0.53    22.4    2.12    28.9     150
472/1_2          0.02    0.03    32.8    2.31    32.2     200
472/1_1          0.02    0.04    32.9    2.31    32.2     200
474/1_23         0.02    0.07    29.8    2.33    31.9      10check depths. this looks like _3
474/1_20         0.19    0.91     8.2    1.70    23.7      20
474/1_16         0.19    0.94    10.0    1.73    24.2      40
474/1_13         0.19    1.02    10.4    1.74    24.4      60
474/1_10         0.20    0.97    11.7    1.75    24.7      80
474/1_07         0.19    0.98    14.5    1.83    25.7     100
474/1_04         0.04    0.07    23.2    2.06    29.8     150
474/1_02         0.01    0.06    31.1    2.26    32.2     200
474/1_01         0.01    0.07    31.2    2.26    32.3     200
484/1/2_24       0.19    0.77     8.7    1.72    23.7      10
484/1/2_23       0.19    0.85     9.4    1.77    24.0      50
484/1/2_22       0.02    0.03    24.2    2.26    30.3     150
484/1/2_21       0.02    0.02    42.3    2.69    34.8     300
484/1/2_20       0.01    0.02    63.0    2.90    37.1     500
484/1/2_18       0.01    0.01    71.9    2.84    36.8     700
484/1/2_17       0.01    0.01    76.8    2.65    34.7    1000
484/1/2_16       0.01    0.00    73.5    2.32    31.0    1500
484/1/2_14       0.01    0.04    90.7    2.44    32.3    2000
484/1/2_13       0.01    0.03   102.0    2.53    33.0    2500
484/1/2_4        0.01    0.06   114.9    2.62    34.3    3000
484/1/2_2        0.01    0.02   120.6    2.65    34.5    3500
484/1/2_1        0.00    0.00   122.1    2.68    34.7    3670
508/2_24         0.23    0.69    16.2    1.71    24.3      10
508/2_22         0.23    0.69    16.3    1.71    24.3      20
508/2_21         0.23    0.68    16.3    1.72    24.3      20
