Identificatiodepth   NO3     NO2     NH4     Si      PO4
424/2_24           10    24.9    0.19    0.64    19.1    1.77
424/2_22           20    24.8    0.19    0.61    19.1    1.75
424/2_21           20    24.8    0.19    0.66    19.1    1.76
424/2_20           30    24.9    0.19    0.60    19.0    1.74
424/2_17           40    25.0    0.19    0.64    19.1    1.75
424/2_15           60    25.0    0.19    0.65    19.1    1.75
424/2_13           80    25.0    0.19    0.74    19.1    1.80
424/2_11           90    25.0    0.19    0.73    19.2    1.77
424/2_10           90    25.1    0.19    0.83    19.4    1.77
424/2_09          100    26.2    0.19    1.10    22.9    1.89
424/2_07          120    28.6    0.18    0.93    27.5    2.07
424/2_05          150    31.8    0.03    0.08    33.4    2.24
424/2_03          200    31.7    0.03    0.08    33.5    2.25
424/2_01          250    33.1    0.02    0.07    39.3    2.38
424/8_24            5    24.6    0.21    0.64    18.9    1.76
424/8_23           10    24.6    0.21    0.63    18.9    1.77
424/8_22           20    24.7    0.21    0.62    18.9    1.76
424/8_18           30    24.8    0.21    0.66    19.0    1.77
424/8_17           40    24.8    0.21    0.65    18.9    1.76
424/8_16           70    24.8    0.21    0.74    19.1    1.78
424/8_15           80    26.0    0.21    1.13    22.8    1.94
424/8_14          100    25.2    0.22    0.96    20.4    1.85
424/8_13          115    25.0    0.21    0.87    19.2    1.81
424/8_12          130    28.1    0.21    1.08    26.9    2.11
424/8_11          150    29.0    0.19    0.80    28.4    2.17
424/8_10          200    31.4    0.04    0.07    32.6    2.30
424/8_09          250    33.3    0.01    0.06    40.9    2.49
424/8_08          300    35.4    0.01    0.09    52.0    2.67
424/8_07          350    36.6    0.01    0.06    59.4    2.78
424/8_06          400    37.4    0.01    0.07    68.7    2.83
424/8_05          500    37.2    0.01    0.08    74.7    2.80
424/8_04          600    36.9    0.01    0.09    78.1    2.80
424/8_03          700    36.4    0.01    0.06    80.3    2.78
424/8_02          800    36.0    0.00    0.07    82.4    2.77
424/8_01         1000    34.5    0.00    0.07    83.7    2.61
424/20_16          20    24.7    0.19    0.60    18.8    1.78
424/20_15          50    24.8    0.19    0.63    18.9    1.79
424/20_14         100    25.1    0.19    0.86    19.7    1.86
424/20_13         200    31.6    0.02    0.09    35.0    2.41
424/20_12         500    37.3    0.01    0.09    73.0    2.93
424/20_09        1000    34.5    0.00    0.09    84.0    2.68
424/20_08        2000    33.1    0.00    0.08    99.7    2.56
424/20_05        2500    33.6    0.00    0.08   108.5    2.63
424/20_04        3000    34.5    0.00    0.09   119.1    2.72
424/20_03        3500    34.7    0.01    0.08   123.1    2.75
424/20_02        3913    34.7    0.01    0.09   123.6    2.79
426/1_24           10    24.8    0.21    0.63    17.5    1.71
426/1_22           20    24.8    0.21    0.65    17.6    1.72
426/1_21           20    24.8    0.21    0.67    17.6    1.73
426/1_20           30    24.9    0.21    0.72    17.7    1.73
426/1_17           40    25.0    0.21    0.73    17.7    1.75
426/1_15           60    25.0    0.21    0.81    18.1    1.77
426/1_13           80    25.0    0.21    0.86    18.3    1.76
426/1_11          100    25.0    0.21    0.93    18.9    1.79
426/1_10          110    25.1    0.21    0.98    19.1    1.81
426/1_09          110    25.4    0.21    1.07    19.7    1.82
426/1_07          120    26.1    0.21    1.16    21.6    1.91
426/1_05          150    29.4    0.17    0.78    29.1    2.15
426/1_03          200    31.9    0.04    0.07    34.4    2.31
426/1_01          250    33.4    0.02    0.08    40.6    2.44
426/7_24          100    25.1    0.25    0.97    19.1    1.76
426/7_23          120    26.2    0.27    1.12    22.4    1.88
426/7_21          150    29.0    0.23    0.79    28.6    2.08
426/7_16          200    31.9    0.04    0.05    34.6    2.23
426/7_12          250    33.8    0.03    0.08    42.9    2.42
426/7_07          350    36.7    0.01    0.06    59.8    2.70
426/7_01          450    37.3    0.00    0.06    69.3    2.76
427/1_24           10    24.7    0.18    0.57    18.5    1.73
427/1_22           20    24.8    0.18    0.56    18.5    1.73
427/1_21           20    24.8    0.18    0.54    18.5    1.73
427/1_20           30    24.8    0.18    0.54    18.5    1.73
427/1_17           40    24.7    0.18    0.56    18.5    1.71
427/1_15           60    24.8    0.18    0.58    18.6    1.70
427/1_13           80    24.8    0.18    0.71    19.0    1.72
427/1_11          100    24.8    0.18    0.73    19.2    1.73
427/1_10          100    24.8    0.18    0.91    19.2    1.74
427/1_09          120    25.4    0.18    1.06    21.0    1.81
427/1_07          150    26.7    0.18    1.20    24.3    1.92
427/1_05          180    29.4    0.14    0.71    29.2    2.08
427/1_03          200    30.7    0.08    0.31    31.3    2.14
427/1_01          250    32.2    0.03    0.16    36.4    2.27
444/1_24           50    24.6    0.19    0.51    12.8    1.72
444/1_23          100    24.8    0.19    0.57    14.8    1.73
444/1_22          200    31.3    0.02    0.18    31.2    2.24
444/1_21          500    35.3    0.03    0.25    54.5    2.57
444/1_20          750    36.3    0.01    0.23    75.1    2.64
444/1_18         1000    35.0    0.00    0.19    79.0    2.50
444/1_17         1500    32.7    0.00    0.17    82.5    2.31
444/1_06         2000    32.7    0.00    0.19    93.3    2.31
444/1_05         2500    32.9    0.00    0.18   101.4    2.34
444/1_03         3000    34.2    0.00    0.17   114.4    2.48
444/1_02         3500    34.6    0.00    0.21   118.8    2.52
444/1_01         3933    34.6    0.01    0.20   120.8    2.56
451/1_18           10    24.9    0.19    0.65    16.5    1.72
451/1_17           50    24.9    0.20    0.64    16.4    1.70
451/1_16          100    25.2    0.19    0.85    16.7    1.73
451/1_14          120    25.2    0.20    0.83    16.9    1.75
451/1_12          150    28.6    0.17    0.93    27.4    2.07
451/1_10          200    32.0    0.03    0.19    34.8    2.27
451/1_08          250    33.4    0.02    0.23    40.8    2.41
451/1_07          300    35.6    0.01    0.20    52.3    2.59
451/1_04          350    36.7    0.01    0.20    59.9    2.62
451/1_01          450    37.3    0.01    0.21    68.3    2.68
452/1_23           10    24.3    0.18    0.51    13.5    1.54
452/1_20           30    24.3    0.18    0.53    13.5    1.56
452/1_16           50    24.4    0.18    0.52    13.5    1.58
452/1_13           65    24.6    0.18    0.57    14.7    1.60
452/1_10           80    25.1    0.18    0.80    17.4    1.70
452/1_07          100    26.3    0.16    0.88    19.6    1.83
452/1_04          150    30.2    0.08    0.38    28.6    2.12
452/1_02          200    32.6    0.02    0.21    35.0    2.31
462/1_21           20    23.7    0.17    0.63     9.3    1.65
462/1_20           60    23.7    0.17    0.63     9.3    1.62
462/1_18          100    24.9    0.17    0.86    14.8    1.73
462/1_17          120    26.9    0.17    0.97    21.1    1.91
462/1_15          150    29.8    0.11    0.23    27.4    2.08
462/1_13          200    31.6    0.02    0.01    31.7    2.18
462/1_10          250    33.5    0.02    0.00    38.7    2.35
462/1_07          300    35.1    0.02    0.01    46.7    2.49
462/1_03          450    37.1    0.01    0.00    62.2    2.68
464/1_23           10    24.7    0.19    0.28    12.8    1.67
464/1_20           20    24.7    0.19    0.33    13.2    1.66
464/1_16           40    24.7    0.19    0.34    13.2    1.67
464/1_13           60    24.8    0.19    0.38    13.6    1.71
464/1_10           80    24.8    0.19    0.55    14.3    1.74
464/1_07          100    24.9    0.19    0.63    15.9    1.75
464/1_04          150    28.2    0.17    0.65    25.6    2.09
464/1_02          200    31.9    0.03    0.00    34.5    2.31
464/1_01          200    32.1    0.02    0.00    34.8    2.30
466/2_23           10    24.6    0.20    0.34    17.3    1.68
466/2_20           20    24.6    0.20    0.34    17.3    1.67
466/2_16           40    24.6    0.20    0.35    17.3    1.66
466/2_13           50    24.6    0.20    0.34    17.3    1.67
466/2_10           60    24.7    0.20    0.43    17.2    1.65
466/2_07           90    24.7    0.20    0.58    17.4    1.66
466/2_04          150    26.2    0.20    1.23    23.3    1.86
466/2_02          200    30.4    0.10    0.18    30.6    2.10
466/2_01          200    30.4    0.10    0.15    30.6    2.08
467/1_06         1500    32.6    0.00    0.03    80.8    2.41
467/1_05         1900    32.4    0.00    0.02    87.8    2.38
467/1_02         3500    34.7    0.00    0.02   119.4    2.58
467/1_04         4000    34.3    0.00    0.07   112.4    2.57
470/1_23           10    24.5    0.19    0.47    15.3    1.70
470/1_20           25    24.5    0.19    0.46    15.4    1.70
470/1_16           40    24.5    0.19    0.47    15.3    1.69
470/1_13           60    24.5    0.19    0.49    15.4    1.69
470/1_10           90    24.5    0.19    0.67    16.1    1.72
470/1_07          100    24.6    0.19    0.67    16.2    1.72
470/1_04          150    26.7    0.20    1.12    23.2    1.98
470/1_02          200    31.0    0.07    0.06    32.2    2.24
470/1_01          200    31.0    0.07    0.05    32.3    2.25
471/1_07           20    24.6    0.19    0.38    13.6    1.71
471/1_06           50    24.7    0.19    0.48    14.2    1.72
471/1_05           80    24.8    0.19    0.66    14.5    1.75
471/1_04          120    27.6    0.17    0.78    23.5    2.03
471/1_03          150    31.1    0.04    0.07    31.6    2.26
471/1_02          200    32.7    0.02    0.06    37.2    2.38
471/1_01          250    34.5    0.02    0.05    44.7    2.53
472/1_23           10    23.7    0.18    0.81     9.1    1.70
472/1_20           20    23.7    0.18    0.80     9.0    1.69
472/1_16           40    23.7    0.18    0.80     9.0    1.69
472/1_13           60    23.8    0.18    0.79     9.1    1.69
472/1_10           90    24.5    0.18    0.70    11.8    1.72
472/1_7           120    25.5    0.18    1.03    14.9    1.85
472/1_4           150    28.9    0.12    0.53    22.4    2.12
472/1_2           200    32.2    0.02    0.03    32.8    2.31
472/1_1           200    32.2    0.02    0.04    32.9    2.31
474/1_23           10    31.9    0.02    0.07    29.8    2.33
474/1_20           20    23.7    0.19    0.91     8.2    1.70
474/1_16           40    24.2    0.19    0.94    10.0    1.73
474/1_13           60    24.4    0.19    1.02    10.4    1.74
474/1_10           80    24.7    0.20    0.97    11.7    1.75
474/1_07          100    25.7    0.19    0.98    14.5    1.83
474/1_04          150    29.8    0.04    0.07    23.2    2.06
474/1_02          200    32.2    0.01    0.06    31.1    2.26
474/1_01          200    32.3    0.01    0.07    31.2    2.26
484/1/2_24         10    23.7    0.19    0.77     8.7    1.72
484/1/2_23         50    24.0    0.19    0.85     9.4    1.77
484/1/2_22        150    30.3    0.02    0.03    24.2    2.26
484/1/2_21        300    34.8    0.02    0.02    42.3    2.69
484/1/2_20        500    37.1    0.01    0.02    63.0    2.90
484/1/2_18        700    36.8    0.01    0.01    71.9    2.84
484/1/2_17       1000    34.7    0.01    0.01    76.8    2.65
484/1/2_16       1500    31.0    0.01    0.00    73.5    2.32
484/1/2_14       2000    32.3    0.01    0.04    90.7    2.44
484/1/2_13       2500    33.0    0.01    0.03   102.0    2.53
484/1/2_4        3000    34.3    0.01    0.06   114.9    2.62
484/1/2_2        3500    34.5    0.01    0.02   120.6    2.65
484/1/2_1        3670    34.7    0.00    0.00   122.1    2.68
508/2_24           10    24.3    0.23    0.69    16.2    1.71
508/2_22           20    24.3    0.23    0.69    16.3    1.71
508/2_21           20    24.3    0.23    0.68    16.3    1.72
508/2_20           30    24.3    0.23    0.69    16.3    1.71
508/2_17 r         40    24.3    0.23    0.75    16.3    1.71
508/2_15           60    24.3    0.23    0.99    16.3    1.73
508/2_13           80    24.3    0.23    0.80    16.5    1.71
508/2_11           90    24.4    0.24    0.83    16.7    1.73
508/2_10           90    24.3    0.24    0.86    16.8    1.74
508/2_9           100    24.4    0.24    0.94    17.1    1.75
508/2_7           120    25.1    0.24    1.32    19.4    1.87
508/2_5           150    26.9    0.25    1.52    24.9    2.05
508/2_3           200    30.6    0.11    0.49    31.0    2.25
508/2_1           250    32.4    0.02    0.29    36.8    2.40
508/16_24           5    24.3    0.19    0.38    15.8    1.78
508/16_23          10    24.3    0.19    0.39    15.9    1.77
508/16_22          20    24.3    0.19    0.40    15.9    1.77
508/16_17          30    24.3    0.19    0.39    15.9    1.77
