Station   dd   DZ_100   DZ_200   DZ_300   DZ_400   DZ_500
42601   43.5174    0.0235    0.0604    0.0549    0.0315    0.0311
51701   60.7431    0.0336    0.1230    0.0363    0.0335    0.0295
51801   60.8153    0.0972    0.0375    0.0535    0.0774    0.0242
51901   60.8812    0.0960    0.1040    0.0293    0.0336    0.0247
52001   60.9437    0.0496    0.0345    0.0656    0.0201    0.0136
52101   61.6847    0.0195    0.0686    0.0368    0.0460    0.0254
52501   61.8792    0.0556    0.0798    0.0749    0.0356    0.0185
53001   62.1292    0.0538    0.1293    0.0727    0.0626    0.0392
53101   62.1799    0.0772    0.0467    0.0554    0.0349    0.0300
53201   62.2208    0.0976    0.1099    0.0401    0.0271    0.0362
53601   62.4229    0.1849    0.0270    0.0635    0.0459    0.0355
53701   62.4875    0.0709    0.1691    0.0364    0.0524    0.1391
53801   62.5437    0.1317    0.0748    0.0835    0.0359    0.0548
53901   62.6000    0.0979    0.1840    0.0448    0.0719    0.0786
54101   62.7319    0.0814    0.0808    0.0303    0.0290    0.0602
54602   68.5292    0.0385    0.0574    0.0707    0.0792    0.0466
54607   68.6910    0.1995    0.0870    0.0879    0.0443    0.0953
55701   71.6694    0.1286    0.0949    0.1179    0.0817    0.0825
55801   71.7153    0.1257    0.0825    0.0834    0.0438    0.0431
56101   71.9444    0.1592    0.2304    0.1142    0.1112    0.0637
56401   72.1785    0.0914    0.0656    0.0598    0.0767    0.0717
56501   72.2653    0.1082    0.1353    0.1079    0.0731    0.0753
58101   75.7583    0.0450    0.1010    0.0701    0.1005    0.0653
58801   77.3917    0.1657    0.0647    0.0111    0.2010    0.0339
58901   77.7257    0.1598    0.0686    0.0198    0.0197    0.0334
59001   77.8785    0.1160    0.1217    0.0746    0.0824    0.0547
59201   78.8257    0.0792    0.1518    0.0834    0.0762    0.0812
59306   79.0361    1.7268    0.0446    0.1016    0.0791    0.0619
