Station   dd   DZ_100   DZ_200   DZ_300   DZ_400   DZ_500
42403   41.7792    0.0637    0.0913    0.0272    0.0307    0.0277
42417   42.0604    0.0161    0.0579    0.0200    0.0427    0.0172
42420   42.1361    0.0319    0.0258    0.0133    0.0235    0.0194
45001   46.1014    0.0176    0.0859    0.0397    0.0461    0.0150
46602   47.7965    0.0183    0.0596    0.0122    0.0200    0.0169
50802   52.3285    0.0366    0.1567    0.0175    0.0274    0.0256
50816   52.6924    0.0296    0.0624    0.0131    0.0163    0.0251
50818   52.8486    0.0955    0.1839    0.0257    0.0398       NaN
51101   54.7826    0.0351    0.1433    0.0443    0.0307    0.0165
51109   54.8896    0.0567    0.1038    0.0350    0.0326    0.0395
51303   57.7875    0.0365    0.1274    0.0233    0.0425    0.0416
51312   58.0354    0.0350    0.0804    0.0375    0.0409    0.0296
51316   58.1083    0.1090    0.0618    0.0533    0.0365    0.0192
51501   60.6333    0.0142    0.0982    0.1550    0.0870    0.0334
51601   60.6931    0.0485    0.0746    0.0452    0.0319    0.0197
52201   61.7285    0.0164    0.1080    0.0532    0.0414    0.0325
52301   61.7833    0.0624    0.2798    0.0834    0.0649    0.0286
52401   61.8257    0.0366    0.0847    0.0734    0.0616    0.0595
52601   61.9264    0.0858    0.1387    0.0412    0.0714    0.0466
52701   61.9743    0.0471    0.0995    0.0577    0.0335    0.0291
52801   62.0243    0.0507    0.1981    0.0362    0.0851    0.0430
52901   62.0792    0.0463    0.0963    0.0441    0.0573    0.0448
53301   62.2604    0.0426    0.3083    0.0345    0.0382    0.0284
53401   62.3076    0.0525    0.1214    0.0448    0.0498    0.0536
53501   62.3611    0.0712    0.0996    0.0481    0.0381    0.0852
54001   62.6528    0.0369    0.0637    0.0379    0.0391    0.0828
54308   63.2181    0.0262    0.1247    0.0435    0.0633    0.0563
54310   63.2875    0.0197    0.1002    0.0884    0.0745    0.0835
54315   63.4437    0.0547    0.1818    0.0990    0.0914    0.1021
54403   64.6701    0.1186    0.0581    0.0383    0.0334    0.0444
54418   65.4264    0.0830    0.1747    0.0492    0.0465    0.0324
54453   66.4403    0.0792    0.3015    0.0431    0.0307    0.0450
54460   66.7681    0.0651    0.3100    0.0822    0.0455    0.0482
54463   66.8472    0.0538    0.2243    0.0461    0.0517    0.0456
54501   67.2708    0.0335    0.1362    0.0746    0.0515    0.0446
55303   70.8035    0.0600    0.2830    0.0763    0.0319    0.0357
55310   70.9931    0.0710    0.1294    0.1381    0.1078    0.0728
55312   71.1306    0.2008    0.2073    0.0992    0.0660    0.1020
55501   71.5729    0.0999    0.1945    0.0458    0.0576    0.0471
55601   71.6229    0.1002    0.0989    0.0669    0.1211    0.0902
55901   71.7708    0.0716    0.1381    0.1337    0.1147    0.0570
56002   71.8701    0.2041    0.1280    0.1440    0.1403    0.1045
56301   72.0944    0.0602    0.2157    0.0979    0.0778    0.0664
57002   73.0938    0.0679    0.1282    0.1415    0.0951    0.0921
57004   73.2424    0.1150    0.2230    0.1537    0.1493    0.1753
57011   73.4437    0.1955    0.1453    0.1541    0.1238    0.1299
57014   73.5132    0.0959    0.1279    0.1493    0.1665    0.1121
57015   73.6062    0.2079    0.1571    0.1941    0.1402    0.1672
57201   73.6771    0.1635    0.3161    0.1391    0.1986    0.1036
57301   73.7278    0.0964    0.2040    0.1445    0.1854    0.0901
57401   73.7806    0.0920    0.1300    0.1425    0.1219    0.0833
58002   75.1028    0.0813    0.1859    0.1422    0.1166    0.0969
58010   75.3097    0.1912    0.1927    0.1513    0.1569    0.0988
58012   75.4090    0.0959    0.1512    0.0868    0.1154    0.0842
58014   75.5111    0.0330    0.2241    0.0880    0.1603    0.0841
58018   75.5910    0.1031    0.1143    0.0746    0.1235    0.1228
58301   76.0021    0.0201    0.1031    0.0835    0.0942    0.0743
58401   76.1576    0.0348    0.0746    0.0387    0.0403    0.0559
58602   76.5903    0.0837    0.1082    0.1511    0.1260    0.1373
59101   78.2729    0.0416    0.2448    0.0382    0.0757    0.0984
59107   78.4382    0.0916    0.0892    0.0656    0.0959    0.0344
59111   78.5743    0.1030    0.2493    0.1029    0.1018    0.0794
59303   78.9722    0.1233    0.3131    0.1702    0.2660    0.0837
59309   79.1285    0.0657    0.1277    0.0979    0.0889    0.0760
59312   79.2285    0.1089    0.0787    0.1024    0.0571    0.0720
59314   79.3340    0.0715    0.2059    0.0770    0.0716    0.0708
59317   79.5292    0.0563    0.1055    0.0605    0.0972    0.0601
59318   79.6868    0.1702    0.0768    0.0581    0.0367    0.0562
