Station   dd   DZ_100   DZ_200   DZ_300   DZ_400   DZ_500
42701   43.7951    0.0599    0.0518    0.0103    0.0254    0.0400
44901   46.0062    0.0243    0.0439    0.0240    0.0330    0.0095
45101   46.1868    0.0589    0.0977    0.0190    0.0168    0.0243
45201   46.2757    0.0239    0.0616    0.0226    0.0200    0.0242
46302   47.4444    0.0681    0.1002    0.0484    0.0609    0.0318
46401   47.5215    0.2031    0.0484    0.0357    0.0410    0.0499
46502   47.6771    0.0275    0.0225    0.0370    0.0333    0.0156
46701   47.8910    0.0875    0.1018    0.0357    0.0368    0.0390
46801   48.0319    0.0450    0.1055    0.0332    0.0451    0.0375
46901   48.1076    0.1206    0.0248    0.0293    0.0224    0.0288
47001   48.1778    0.0617    0.1322    0.0413    0.0414    0.0154
47101   48.2486    0.0858    0.1272    0.0379    0.0370    0.0155
50901   53.2521    0.0605    0.0839    0.0531    0.0417    0.0396
50913   53.4910    0.0748    0.0939    0.0801    0.0498    0.0639
51402   59.7465    0.0812    0.0696    0.0549    0.0930    0.0523
51413   59.9201    0.0432    0.0556    0.0950    0.0728    0.0463
54614   68.8590    0.0753    0.1099    0.0424    0.0451    0.0682
54622   69.0521    0.0299    0.0274    0.0578    0.0582    0.0491
55401   71.5104    0.0521    0.0502    0.0438    0.0199    0.0622
56202   72.0146    0.0550    0.1360    0.0572    0.0790    0.0546
58701   76.7451    0.0797    0.1222    0.0380    0.0455    0.0366
58710   76.9875    0.0833    0.0769    0.0671    0.0690    0.0630
58714   77.0639    0.0496    0.0265    0.0393    0.0418    0.0669
58715   77.1493    0.0601    0.0688    0.0367    0.0324    0.0428
58716   77.2146    0.0609    0.0275    0.0605    0.0363    0.0645
