Station,cast,stationcast,days after fertilization,0-100,100-200,200-300,300-400,400-500,500-1000,1000-2000,2000-3000,in(1)/out(0)/others(2/3/10)
348,4,34804,nan,6.2071,2.1214,0,0,1.9558,1.7309,1.5498,0.7025,10
424,3,42403,-1.2125,8.4344,3.056,1.0455,0.7435,0.5004,nan,nan,nan,1
424,17,42417,-0.926388889,7.9985,3.4839,1.1531,0.8392,0.5387,nan,nan,nan,1
424,20,42420,-0.809722222,7.9717,3.2273,1.1753,0.8908,0.6045,1.8208,1.1379,1.2575,1
426,1,42601,0.526388889,8.8218,4.5714,1.9833,1.6156,1.3838,nan,nan,nan,1
427,1,42701,0.802777778,8.7757,4.7536,2.0141,1.7335,1.4296,nan,nan,nan,0
428,1,42801,1.246527778,6.6781,2.8939,1.3097,1.2225,1.1127,nan,nan,nan,3
429,1,42901,1.322222222,7.1222,1.6756,1.3271,1.1717,1.084,nan,nan,nan,3
430,1,43001,1.40625,6.5972,2.0492,1.3019,1.1145,1.0997,nan,nan,nan,3
431,1,43101,1.498611111,5.9841,0.8674,0.5422,0.3518,0.3156,nan,nan,nan,3
432,1,43201,1.595833333,6.541,2.0856,0.562,0.3403,0.2976,nan,nan,nan,3
433,1,43301,1.688888889,6.0769,1.2554,0.5783,0.3432,0.2874,nan,nan,nan,3
434,1,43401,1.776388889,6.5997,3.1189,0.8425,0.6917,0.4318,nan,nan,nan,3
435,1,43501,1.866666667,5.6093,1.1986,0.7939,0.5195,0.4075,nan,nan,nan,3
436,1,43601,1.963194444,6.0349,1.2843,0.7188,0.3597,0.3431,nan,nan,nan,3
437,1,43701,2.054861111,11.5192,3.9782,1.1067,0.7099,0.6486,nan,nan,nan,3
438,1,43801,2.122222222,6.36,1.8337,1.03,0.7363,0.7133,nan,nan,nan,3
439,1,43901,2.194444444,6.4741,1.616,0.6015,0.4045,0.3228,nan,nan,nan,3
440,1,44001,2.260416667,6.1132,1.1682,0.6302,0.4117,0.3553,nan,nan,nan,3
441,1,44101,2.328472222,5.7826,0.8488,0.5527,0.4233,0.3547,nan,nan,nan,3
442,1,44201,2.401388889,8.4094,3.0781,1.0972,0.7618,0.7845,nan,nan,nan,3
443,1,44301,2.479166667,9.7312,4.6386,1.1924,1.0119,0.7665,nan,nan,nan,3
444,1,44401,2.591666667,11.2232,5.1815,1.4465,1.1797,0.8502,2.2669,1.3859,1.0309,3
445,1,44501,2.703472222,9.2239,5.5119,1.6831,1.1692,0.7845,nan,nan,nan,3
446,1,44601,2.770138889,8.36,2.892,0.9431,0.7788,0.5349,nan,nan,nan,3
447,1,44701,2.84375,7.1373,1.1518,0.5962,0.3899,0.3444,nan,nan,nan,3
448,1,44801,2.915277778,9.753,6.1263,1.4749,1.1709,0.7333,nan,nan,nan,3
449,1,44901,3.015277778,10.1677,2.7997,1.3023,1.0533,0.7476,nan,nan,nan,0
450,1,45001,3.109027778,9.5651,3.353,1.2372,0.9445,0.5994,nan,nan,nan,1
451,1,45101,3.19375,9.7832,5.154,1.2373,0.8415,0.6689,nan,nan,nan,0
452,1,45201,3.283333333,10.7274,2.8174,1.1842,0.8113,0.6878,nan,nan,nan,3
453,1,45301,3.3875,10.4395,4.4787,1.5924,0.9744,0.7059,nan,nan,nan,3
454,1,45401,3.483333333,8.2149,3.3337,1.4327,1.0962,0.8827,nan,nan,nan,3
455,1,45501,3.575694444,7.4208,1.9073,0.8096,0.5131,0.4141,nan,nan,nan,3
456,1,45601,3.6625,6.1496,1.3879,0.7186,0.4058,0.3483,nan,nan,nan,3
457,1,45701,3.745138889,7.272,1.7893,1.0293,0.8299,0.6686,nan,nan,nan,3
458,1,45801,3.816666667,8.944,2.5844,1.2459,0.8078,0.6827,nan,nan,nan,3
459,3,45903,3.976388889,7.7395,2.0833,1.1028,0.8494,0.71,nan,nan,nan,3
460,1,46001,4.073611111,6.7597,3.0238,1.18,1.0372,0.7549,2.1519,1.1667,1.0205,3
461,2,46102,4.220833333,9.234,3.2125,1.219,0.8836,0.7278,nan,nan,nan,3
462,1,46201,4.291666667,9.0216,3.2927,1.2685,0.9022,0.7078,nan,nan,nan,3
463,2,46302,4.452777778,8.3153,3.4568,1.1575,0.8795,0.6664,nan,nan,nan,0
464,1,46401,4.529166667,10.6721,3.1352,1.1463,0.7516,0.6561,nan,nan,nan,0
465,2,46502,4.684722222,7.8766,3.2815,1.2326,0.8628,0.58,nan,nan,nan,0
466,2,46602,4.804166667,8.8957,3.7419,1.2328,0.8737,0.5788,nan,nan,nan,1
467,1,46701,4.935416667,9.2143,3.5628,1.4774,1.3006,0.8671,2.6423,1.258,0.8465,0
468,1,46801,5.039583333,8.893,5.2504,1.7529,1.2711,1.0476,nan,nan,nan,0
469,1,46901,5.115277778,9.2464,5.1705,1.6865,1.0735,0.6925,nan,nan,nan,0
470,1,47001,5.184722222,9.5945,4.7058,1.3209,0.7433,0.54,nan,nan,nan,0
471,1,47101,5.25625,10.3731,3.492,1.3792,0.9541,0.7529,nan,nan,nan,3
472,1,47201,5.327083333,8.6683,3.5585,1.0815,0.8173,0.6844,nan,nan,nan,3
473,1,47301,5.411111111,8.4543,3.0874,1.3031,0.7335,0.6864,nan,nan,nan,3
474,1,47401,5.483333333,9.3647,2.9456,1.2805,0.9463,0.7588,nan,nan,nan,3
475,1,47501,5.566666667,8.0915,2.7598,1.2468,0.9443,0.7071,nan,nan,nan,3
476,1,47601,5.645833333,8.9936,4.6574,1.5643,0.9126,0.7596,nan,nan,nan,3
477,1,47701,5.721527778,8.7055,2.5964,1.4227,0.9496,0.7735,nan,nan,nan,3
478,1,47801,5.786111111,10.2359,3.4122,1.435,0.8842,0.7421,nan,nan,nan,3
479,1,47901,5.856944444,9.8553,2.7998,1.4411,0.918,0.771,nan,nan,nan,3
480,1,48001,5.931944444,8.409,1.984,1.2243,0.7713,0.7204,nan,nan,nan,3
481,1,48101,5.002083333,9.6586,3.9098,1.3445,0.9814,0.7407,nan,nan,nan,3
482,1,48201,6.076388889,8.5715,3.4025,1.1687,0.699,0.6147,nan,nan,nan,3
483,1,48301,6.223611111,8.4023,2.9381,1.2476,0.7752,0.6794,nan,nan,nan,3
484,1,48401,6.341666667,8.6866,2.8309,1.2696,0.988,0.6997,2.0777,1.5323,0.9811,3
485,1,48501,6.484027778,8.7649,2.6388,1.3516,0.9592,0.6811,nan,nan,nan,3
486,1,48601,6.560416667,9.01,4.1099,1.4321,1.13,0.8809,nan,nan,nan,3
487,1,48701,6.630555556,5.6783,1.7205,0.6601,0.4761,0.3499,nan,nan,nan,3
488,1,48801,6.694444444,7.4265,1.5902,0.6163,0.4519,0.3552,nan,nan,nan,3
489,1,48901,6.759722222,8.5326,2.6078,0.7112,0.5243,0.3851,nan,nan,nan,3
490,1,49001,6.819444444,7.1369,1.8349,0.7446,0.4376,0.3313,nan,nan,nan,3
