From: Volker Strass <Volker.Strass@awi.de>
Date: December 2, 2009 4:22:52 PM GMT+01:00
To: Martin Losch <Martin.Losch@awi.de>
Subject: EIFEX Partikel-POC

Hallo Martin,

als Anlage die Integrale über POC assoziiert mit Attenuationsspikes in100m-Schichten.

Am Besten einmal plotten und mir zeigen - um sicher zu gehen, dass ich dir die richtigen Daten geschickt habe (müsste aber so sein).

Erscheinen soll die Abbildung irgendwann einmal in dem berühmt-berüchtigten EIFEX-Nature-paper.

Besten Gruß,
Volker

-- 

Dr. Volker H. Strass

Alfred-Wegener-Institut fuer Polar- und Meeresforschung, Postfach 12 01 61, D-27515 Bremerhaven

e-mail: vhstrass@awi-bremerhaven.de
Telefon: +49/471-4831-1822           Telefax: +49/471-4831-1797

Station   dd   DZ_100   DZ_200   DZ_300   DZ_400   DZ_500
42701   43.7951    0.0599    0.0518    0.0103    0.0254    0.0400
44901   46.0062    0.0243    0.0439    0.0240    0.0330    0.0095
45101   46.1868    0.0589    0.0977    0.0190    0.0168    0.0243
45201   46.2757    0.0239    0.0616    0.0226    0.0200    0.0242
46302   47.4444    0.0681    0.1002    0.0484    0.0609    0.0318
46401   47.5215    0.2031    0.0484    0.0357    0.0410    0.0499
46502   47.6771    0.0275    0.0225    0.0370    0.0333    0.0156
46701   47.8910    0.0875    0.1018    0.0357    0.0368    0.0390
46801   48.0319    0.0450    0.1055    0.0332    0.0451    0.0375
46901   48.1076    0.1206    0.0248    0.0293    0.0224    0.0288
47001   48.1778    0.0617    0.1322    0.0413    0.0414    0.0154
47101   48.2486    0.0858    0.1272    0.0379    0.0370    0.0155
50901   53.2521    0.0605    0.0839    0.0531    0.0417    0.0396
50913   53.4910    0.0748    0.0939    0.0801    0.0498    0.0639
51402   59.7465    0.0812    0.0696    0.0549    0.0930    0.0523
51413   59.9201    0.0432    0.0556    0.0950    0.0728    0.0463
54614   68.8590    0.0753    0.1099    0.0424    0.0451    0.0682
54622   69.0521    0.0299    0.0274    0.0578    0.0582    0.0491
55401   71.5104    0.0521    0.0502    0.0438    0.0199    0.0622
56202   72.0146    0.0550    0.1360    0.0572    0.0790    0.0546
58701   76.7451    0.0797    0.1222    0.0380    0.0455    0.0366
58710   76.9875    0.0833    0.0769    0.0671    0.0690    0.0630
58714   77.0639    0.0496    0.0265    0.0393    0.0418    0.0669
58715   77.1493    0.0601    0.0688    0.0367    0.0324    0.0428
58716   77.2146    0.0609    0.0275    0.0605    0.0363    0.0645
Station   dd   DZ_100   DZ_200   DZ_300   DZ_400   DZ_500
42601   43.5174    0.0235    0.0604    0.0549    0.0315    0.0311
51701   60.7431    0.0336    0.1230    0.0363    0.0335    0.0295
51801   60.8153    0.0972    0.0375    0.0535    0.0774    0.0242
51901   60.8812    0.0960    0.1040    0.0293    0.0336    0.0247
52001   60.9437    0.0496    0.0345    0.0656    0.0201    0.0136
52101   61.6847    0.0195    0.0686    0.0368    0.0460    0.0254
52501   61.8792    0.0556    0.0798    0.0749    0.0356    0.0185
53001   62.1292    0.0538    0.1293    0.0727    0.0626    0.0392
53101   62.1799    0.0772    0.0467    0.0554    0.0349    0.0300
53201   62.2208    0.0976    0.1099    0.0401    0.0271    0.0362
53601   62.4229    0.1849    0.0270    0.0635    0.0459    0.0355
53701   62.4875    0.0709    0.1691    0.0364    0.0524    0.1391
53801   62.5437    0.1317    0.0748    0.0835    0.0359    0.0548
53901   62.6000    0.0979    0.1840    0.0448    0.0719    0.0786
54101   62.7319    0.0814    0.0808    0.0303    0.0290    0.0602
54602   68.5292    0.0385    0.0574    0.0707    0.0792    0.0466
54607   68.6910    0.1995    0.0870    0.0879    0.0443    0.0953
55701   71.6694    0.1286    0.0949    0.1179    0.0817    0.0825
55801   71.7153    0.1257    0.0825    0.0834    0.0438    0.0431
56101   71.9444    0.1592    0.2304    0.1142    0.1112    0.0637
56401   72.1785    0.0914    0.0656    0.0598    0.0767    0.0717
56501   72.2653    0.1082    0.1353    0.1079    0.0731    0.0753
58101   75.7583    0.0450    0.1010    0.0701    0.1005    0.0653
58801   77.3917    0.1657    0.0647    0.0111    0.2010    0.0339
58901   77.7257    0.1598    0.0686    0.0198    0.0197    0.0334
59001   77.8785    0.1160    0.1217    0.0746    0.0824    0.0547
59201   78.8257    0.0792    0.1518    0.0834    0.0762    0.0812
59306   79.0361    1.7268    0.0446    0.1016    0.0791    0.0619
Station   dd   DZ_100   DZ_200   DZ_300   DZ_400   DZ_500
42403   41.7792    0.0637    0.0913    0.0272    0.0307    0.0277
42417   42.0604    0.0161    0.0579    0.0200    0.0427    0.0172
42420   42.1361    0.0319    0.0258    0.0133    0.0235    0.0194
45001   46.1014    0.0176    0.0859    0.0397    0.0461    0.0150
46602   47.7965    0.0183    0.0596    0.0122    0.0200    0.0169
